Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2
HAWAII,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2019,4,,-,0,,,-,,-,,-,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
PENNSYLVANIA,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
US RESIDENTS,2019,4,,-,2,,,-,,-,208,,426,,905,,1595,,,US RESIDENTS
NEW MEXICO,2019,4,,-,0,,,-,,-,,-,4,,,-,10,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW ENGLAND,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND
MINNESOTA,2019,4,,-,0,,,-,,-,,-,4,,,-,15,,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
WYOMING,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PACIFIC,2019,4,,-,1,,,-,,-,14,,217,,138,,664,,,PACIFIC
AMERICAN SAMOA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
MARYLAND,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MIDDDLE ATLANTIC,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDDLE ATLANTIC
NEVADA,2019,4,,-,0,,,-,,-,,-,10,,1,,27,,"NEVADA
(39.491833, -117.070159)",
UTAH,2019,4,,-,0,,,-,,-,,-,1,,,-,3,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2019,4,,-,1,,,-,,-,14,,217,,138,,664,,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
LOUISIANA,2019,4,,-,0,,,-,,-,,-,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2019,4,,-,0,,,-,,-,,-,2,,,-,2,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OHIO,2019,4,,-,0,,,-,,-,1,,5,,1,,,-,"OHIO
(40.056807, -82.405897)",
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2019,4,,-,1,,,-,,-,192,,215,,764,,861,,"ARIZONA
(34.869712, -111.760902)",
WEST NORTH CENTRAL,2019,4,,-,0,,,-,,-,1,,5,,1,,18,,,WEST NORTH CENTRAL
IOWA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
INDIANA,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MISSISSIPPI,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2019,4,,-,1,,,-,,-,,-,2,,,-,3,,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
MOUNTAIN,2019,4,,-,1,,,-,,-,192,,215,,765,,902,,,MOUNTAIN
VIRGINIA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
FLORIDA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MASSACHUSETTS,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
TOTAL,2019,4,,-,2,,,-,,-,208,,426,,905,,1595,,,TOTAL
ILLINOIS,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
EAST NORTH CENTRAL,2019,4,,-,1,,,-,,-,1,,6,,1,,8,,,EAST NORTH CENTRAL
PUERTO RICO,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
SOUTH ATLANTIC,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
ALASKA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEBRASKA,2019,4,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
VERMONT,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEW YORK CITY,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
WEST SOUTH CENTRAL,2019,5,,-,0,,,-,,-,,-,2,,,-,3,,,WEST SOUTH CENTRAL
WEST VIRGINIA,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
ALABAMA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
OHIO,2019,5,,-,0,,,-,,-,,-,5,,1,,2,,"OHIO
(40.056807, -82.405897)",
WYOMING,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
EAST SOUTH CENTRAL,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
SOUTH CAROLINA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MONTANA,2019,5,,-,0,,,-,,-,,-,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
PUERTO RICO,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TENNESSEE,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2019,5,,-,0,,,-,,-,,-,9,,1,,34,,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
NEBRASKA,2019,5,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
NEW ENGLAND,2019,5,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND
FLORIDA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2019,5,,-,1,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH ATLANTIC,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
SOUTH DAKOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2019,5,,-,1,,,-,,-,30,,205,,248,,870,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2019,5,,-,0,,,-,,-,,-,1,,,-,3,,"UTAH
(39.359772, -111.584173)",
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
INDIANA,2019,5,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
AMERICAN SAMOA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
TEXAS,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2019,5,,-,0,,,-,,-,,-,3,,1,,3,,"MISSOURI
(38.636168, -92.566292)",
US RESIDENTS,2019,5,,-,1,,,-,1,,318,,406,,1311,,2000,,,US RESIDENTS
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARKANSAS,2019,5,,-,0,,,-,,-,,-,1,,,-,2,,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2019,5,,-,0,,,-,,-,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
EAST NORTH CENTRAL,2019,5,,-,1,,,-,,-,,-,6,,1,,11,,,EAST NORTH CENTRAL
MOUNTAIN,2019,5,,-,0,,,-,,-,288,,214,,1061,,1093,,,MOUNTAIN
WEST NORTH CENTRAL,2019,5,,-,1,,,-,,-,,-,5,,1,,22,,,WEST NORTH CENTRAL
NORTH DAKOTA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2019,5,,-,0,,,-,,-,,-,4,,2,,11,,"NEW MEXICO
(34.520396, -106.244402)",
WISCONSIN,2019,5,,-,0,,,-,,-,,-,3,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
ALASKA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
ARIZONA,2019,5,,-,0,,,-,,-,288,,214,,1058,,1043,,"ARIZONA
(34.869712, -111.760902)",
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
COLORADO,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
MICHIGAN,2019,5,,-,1,,,-,,-,,-,2,,,-,4,,"MICHIGAN
(44.66399, -84.711206)",
PACIFIC,2019,5,,-,1,,,-,,-,30,,206,,248,,871,,,PACIFIC
KANSAS,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
NON-US RESIDENTS,2019,9,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
MIDDDLE ATLANTIC,2019,5,,-,1,,,-,1,,,-,1,,,-,,-,,MIDDDLE ATLANTIC
GEORGIA,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSISSIPPI,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2019,5,,-,0,,,-,,-,,-,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
NEW HAMPSHIRE,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
MASSACHUSETTS,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
WASHINGTON,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
TOTAL,2019,5,,-,1,,,-,1,,318,,406,,1311,,2000,,,TOTAL
DISTRICT OF COLUMBIA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2019,5,,-,0,,,-,,-,,-,4,,,-,18,,"MINNESOTA
(46.357661, -94.793397)",
CONNECTICUT,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
PACIFIC,2019,6,,-,1,,,-,,-,10,,182,,302,,1020,,,PACIFIC
NEVADA,2019,6,,-,0,,,-,,-,,-,9,,3,,43,,"NEVADA
(39.491833, -117.070159)",
IOWA,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
MONTANA,2019,6,,-,0,,,-,,-,,-,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
MOUNTAIN,2019,6,,-,0,,,-,,-,205,,296,,1275,,1252,,,MOUNTAIN
NORTH CAROLINA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2019,6,,-,0,,,-,,-,1,,3,,1,,2,,"OREGON
(44.567912, -120.156945)",
WYOMING,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW ENGLAND,2019,6,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND
OKLAHOMA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
GUAM,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2019,6,,-,0,,,-,,-,,-,1,,,-,3,,"ARKANSAS
(34.748745, -92.275105)",
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MICHIGAN,2019,6,,-,1,,,-,,-,,-,3,,1,,4,,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2019,6,,-,0,,,-,,-,,-,1,,,-,4,,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
IDAHO,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2019,6,,-,0,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH ATLANTIC,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
TENNESSEE,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WEST SOUTH CENTRAL,2019,6,,-,0,,,-,,-,,-,2,,,-,5,,,WEST SOUTH CENTRAL
NEW HAMPSHIRE,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2019,6,,-,1,,,-,,-,9,,182,,301,,1018,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEW MEXICO,2019,6,,-,0,,,-,,-,,-,4,,3,,11,,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
INDIANA,2019,6,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
HAWAII,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
US RESIDENTS,2019,6,,-,1,,,-,1,,216,,350,,1582,,2312,,,US RESIDENTS
DELAWARE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
AMERICAN SAMOA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
MINNESOTA,2019,6,,-,0,,,-,,-,,-,4,,,-,20,,"MINNESOTA
(46.357661, -94.793397)",
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
WISCONSIN,2019,6,,-,0,,,-,,-,,-,3,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
WEST NORTH CENTRAL,2019,6,,-,1,,,-,,-,1,,5,,3,,24,,,WEST NORTH CENTRAL
TEXAS,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
MIDDDLE ATLANTIC,2019,6,,-,1,,,-,1,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
ILLINOIS,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
OHIO,2019,6,,-,0,,,-,,-,,-,5,,1,,2,,"OHIO
(40.056807, -82.405897)",
FLORIDA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2019,6,,-,0,,,-,,-,1,,3,,3,,3,,"MISSOURI
(38.636168, -92.566292)",
EAST NORTH CENTRAL,2019,6,,-,1,,,-,,-,,-,6,,2,,11,,,EAST NORTH CENTRAL
SOUTH DAKOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
RHODE ISLAND,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
LOUISIANA,2019,6,,-,0,,,-,,-,,-,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
CONNECTICUT,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK CITY,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
DISTRICT OF COLUMBIA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEBRASKA,2019,6,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
EAST SOUTH CENTRAL,2019,6,,-,0,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL
NEW JERSEY,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
GEORGIA,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2019,6,,-,0,,,-,,-,205,,296,,1269,,1192,,"ARIZONA
(34.869712, -111.760902)",
TOTAL,2019,6,,-,1,,,-,1,,216,,350,,1582,,2312,,,TOTAL
US RESIDENTS,2019,7,,-,2,,,-,1,,91,,363,,1756,,2622,,,US RESIDENTS
SOUTH CAROLINA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NORTH CAROLINA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
EAST SOUTH CENTRAL,2019,7,,-,0,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL
WASHINGTON,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2019,7,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2019,7,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
MIDDDLE ATLANTIC,2019,7,,-,1,,,-,1,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
ILLINOIS,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MICHIGAN,2019,7,,-,1,,,-,,-,,-,3,,1,,4,,"MICHIGAN
(44.66399, -84.711206)",
INDIANA,2019,7,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2019,7,,-,0,,,-,,-,,-,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
CONNECTICUT,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
EAST NORTH CENTRAL,2019,7,,-,1,,,-,,-,,-,6,,2,,13,,,EAST NORTH CENTRAL
NEW MEXICO,2019,7,,-,0,,,-,,-,,-,4,,5,,11,,"NEW MEXICO
(34.520396, -106.244402)",
DISTRICT OF COLUMBIA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
DELAWARE,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST SOUTH CENTRAL,2019,7,,-,0,,,-,,-,,-,2,,,-,5,,,WEST SOUTH CENTRAL
WISCONSIN,2019,7,,-,0,,,-,,-,,-,3,,,-,6,,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2019,7,,-,0,,,-,,-,,-,4,,,-,20,,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2019,7,,-,0,,,-,,-,,-,3,,3,,3,,"MISSOURI
(38.636168, -92.566292)",
ARKANSAS,2019,7,,-,0,,,-,,-,,-,1,,,-,3,,"ARKANSAS
(34.748745, -92.275105)",
PACIFIC,2019,7,,-,1,,,-,,-,16,,179,,407,,1189,,,PACIFIC
PUERTO RICO,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
KANSAS,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEW YORK CITY,2019,7,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
OREGON,2019,7,,-,0,,,-,,-,,-,3,,1,,2,,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2019,7,,-,1,,,-,,-,16,,179,,406,,1187,,"CALIFORNIA
(37.640735, -121.002435)",
