Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2015","Chlamydia trachomatis infection, Cum 2015, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2015","Coccidioidomycosis, Cum 2015, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag",Location 1,Location 2
ARKANSAS,2015,16,,-,306,,505,,4254,,4716,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865, -92.27449)",
ALABAMA,2015,16,,-,507,,701,,7919,,8180,,,N,0,,0,,,N,,N,"ALABAMA
(32.840572, -86.631857)",
NEBRASKA,2015,16,162,,148,,250,,2507,,2378,,,-,0,,1,,3,,1,,"NEBRASKA
(41.641044, -99.365719)",
KANSAS,2015,16,67,,214,,351,,3589,,3346,,,N,0,,0,,,N,,N,"KANSAS
(38.347743, -98.200778)",
VIRGINIA,2015,16,736,,692,,1065,,11526,,11038,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542681, -78.457889)",
NORTH DAKOTA,2015,16,10,,62,,86,,854,,1073,,,N,0,,1,,,N,,N,"NORTH DAKOTA
(47.475319, -100.118428)",
WYOMING,2015,16,11,,31,,72,,418,,561,,,-,0,,1,,1,,,-,"WYOMING
(43.235541, -108.109827)",
MOUNTAIN,2015,16,1815,,1785,,2305,,26513,,30022,,145,,91,,180,,1599,,2192,,,
NEVADA,2015,16,,-,181,,259,,1988,,4839,,,-,1,,5,,17,,30,,"NEVADA
(39.493242, -117.071839)",
KENTUCKY,2015,16,299,,318,,600,,4354,,5121,,,N,0,,0,,,N,,N,"KENTUCKY
(37.645973, -84.774968)",
SOUTH CAROLINA,2015,16,547,,527,,837,,8455,,8348,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.998822, -81.045366)",
WASHINGTON,2015,16,362,,466,,595,,6033,,7969,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
WEST VIRGINIA,2015,16,54,,84,,139,,1150,,1431,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.665511, -80.712638)",
TENNESSEE,2015,16,185,,583,,871,,7635,,9366,,,N,0,,0,,,N,,N,"TENNESSEE
(35.680941, -85.774487)",
E.N. CENTRAL,2015,16,1259,,4108,,4896,,55595,,63972,,,-,1,,3,,7,,18,,,
S. ATLANTIC,2015,16,4380,,5482,,7246,,89870,,86419,,1,,0,,2,,2,,1,,,
NEW ENGLAND,2015,16,395,,845,,1197,,12851,,14291,,,-,0,,1,,,-,2,,,
VIRGIN ISL.,2015,16,,-,14,,29,,82,,243,,,-,0,,0,,,-,,-,VIRGIN ISL.,
MICHIGAN,2015,16,541,,892,,1221,,13126,,12911,,,-,0,,2,,5,,12,,"MICHIGAN
(44.661322, -84.714386)",
OREGON,2015,16,277,,306,,402,,5095,,4696,,,-,0,,1,,2,,,-,"OREGON
(44.56745, -120.155029)",
E.S. CENTRAL,2015,16,660,,1681,,2562,,22049,,35266,,,-,0,,0,,,-,,-,,
PENNSYLVANIA,2015,16,911,,988,,1353,,15929,,14851,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
COLORADO,2015,16,945,,419,,747,,7532,,6073,,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
PUERTO RICO,2015,16,,-,66,,317,,1246,,1784,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.248289, -66.49989)",
NEW HAMPSHIRE,2015,16,,-,27,,74,,73,,764,,,-,0,,1,,,-,2,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
IDAHO,2015,16,94,,102,,135,,1663,,1597,,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
W.S. CENTRAL,2015,16,2310,,3684,,4406,,53192,,55771,,,-,0,,1,,,-,,-,,
NEW MEXICO,2015,16,101,,221,,373,,3759,,3547,,,-,0,,3,,3,,8,,"NEW MEXICO
(34.520881, -106.240578)",
LOUISIANA,2015,16,,-,450,,1269,,2479,,6813,,,-,0,,1,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
MONTANA,2015,16,65,,81,,126,,1277,,1215,,,-,0,,2,,3,,1,,"MONTANA
(47.066528, -109.424416)",
DELAWARE,2015,16,95,,81,,166,,1295,,1156,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
SOUTH DAKOTA,2015,16,28,,77,,103,,1191,,1335,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313, -100.373529)",
OKLAHOMA,2015,16,66,,276,,348,,3544,,4875,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031, -97.521068)",
GUAM,2015,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
DIST. OF COL.,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
NEW YORK CITY,2015,16,178,,1187,,1372,,17710,,17994,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.714268, -74.005969)",
FLORIDA,2015,16,1040,,1678,,2032,,25234,,24549,,,N,0,,0,,,N,,N,"FLORIDA
(28.932043, -81.928958)",
VERMONT,2015,16,,-,36,,63,,446,,603,,,N,0,,0,,,N,,N,"VERMONT
(43.625384, -72.517637)",
OREGON,2015,20,314,,301,,402,,5826,,5979,,,-,0,,1,,2,,1,,"OREGON
(44.56745, -120.155029)",
NEVADA,2015,20,,-,183,,261,,2872,,5599,,,-,1,,5,,23,,35,,"NEVADA
(39.493242, -117.071839)",
ARKANSAS,2015,20,,-,298,,505,,4255,,5926,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865, -92.27449)",
SOUTH CAROLINA,2015,20,412,,530,,837,,10562,,10448,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.998822, -81.045366)",
MISSOURI,2015,20,154,,554,,632,,10288,,10369,,,-,0,,1,,1,,6,,"MISSOURI
(38.635791, -92.566299)",
VIRGINIA,2015,20,722,,692,,1065,,14332,,13743,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542681, -78.457889)",
WEST VIRGINIA,2015,20,24,,81,,139,,1396,,1851,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.665511, -80.712638)",
WYOMING,2015,20,,-,31,,96,,457,,712,,,-,0,,1,,1,,1,,"WYOMING
(43.235541, -108.109827)",
GUAM,2015,20,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
IOWA,2015,20,13,,229,,273,,4337,,4543,,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
NEW ENGLAND,2015,20,375,,862,,1241,,15880,,17851,,,-,0,,1,,,-,2,,,
E.S. CENTRAL,2015,20,483,,1718,,2333,,26598,,43510,,,-,0,,0,,,-,,-,,
OKLAHOMA,2015,20,50,,359,,456,,4779,,7986,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031, -97.521068)",
E.N. CENTRAL,2015,20,1345,,4138,,4975,,71511,,80958,,,-,1,,3,,10,,25,,,
ALASKA,2015,20,31,,101,,142,,1691,,2332,,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
VIRGIN ISL.,2015,20,,-,14,,29,,82,,305,,,-,0,,0,,,-,,-,VIRGIN ISL.,
LOUISIANA,2015,20,98,,450,,1165,,6373,,9087,,,-,0,,1,,1,,,-,"LOUISIANA
(31.312663, -92.445678)",
MID. ATLANTIC,2015,20,2227,,3559,,3930,,68888,,65416,,,-,0,,0,,,-,,-,,
VERMONT,2015,20,,-,35,,55,,501,,758,,,N,0,,0,,,N,,N,"VERMONT
(43.625384, -72.517637)",
UNITED STATES,2015,20,9930,,27619,,30359,,504508,,547055,,159,,132,,187,,2900,,3760,,,
KENTUCKY,2015,20,318,,326,,600,,5666,,6202,,,N,0,,0,,,N,,N,"KENTUCKY
(37.645973, -84.774968)",
PUERTO RICO,2015,20,,-,66,,317,,1855,,2312,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.248289, -66.49989)",
ALABAMA,2015,20,,-,534,,695,,8636,,10510,,,N,0,,0,,,N,,N,"ALABAMA
(32.840572, -86.631857)",
ILLINOIS,2015,20,48,,1235,,1470,,16694,,25355,,,N,0,,0,,,N,,N,"ILLINOIS
(40.485012, -88.997709)",
NEW YORK CITY,2015,20,685,,1193,,1374,,23469,,22551,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.714268, -74.005969)",
FLORIDA,2015,20,,-,1671,,2035,,31022,,30708,,,N,0,,0,,,N,,N,"FLORIDA
(28.932043, -81.928958)",
CALIFORNIA,2015,20,782,,3438,,3975,,66846,,66992,,16,,36,,57,,662,,901,,"CALIFORNIA
(37.638642, -120.999996)",
UTAH,2015,20,97,,155,,202,,3050,,3187,,,-,0,,3,,8,,16,,"UTAH
(39.360701, -111.587128)",
MICHIGAN,2015,20,506,,892,,1222,,16786,,15831,,,-,0,,2,,8,,17,,"MICHIGAN
(44.661322, -84.714386)",
KANSAS,2015,20,50,,213,,351,,4393,,4233,,,N,0,,0,,,N,,N,"KANSAS
(38.347743, -98.200778)",
GEORGIA,2015,20,509,,1028,,1212,,18490,,20317,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683, -83.627579)",
IDAHO,2015,20,25,,103,,135,,2018,,2014,,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
VERMONT,2015,17,,-,36,,55,,446,,666,,,N,0,,0,,,N,,N,"VERMONT
(43.625384, -72.517637)",
NORTH DAKOTA,2015,17,,-,63,,89,,854,,1151,,,N,0,,1,,,N,,N,"NORTH DAKOTA
(47.475319, -100.118428)",
W.N. CENTRAL,2015,17,313,,1659,,1845,,25119,,27725,,,-,2,,6,,27,,30,,,
ALASKA,2015,17,1,,104,,142,,1480,,2001,,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
WEST VIRGINIA,2015,17,35,,83,,139,,1202,,1552,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.665511, -80.712638)",
INDIANA,2015,17,330,,541,,920,,8746,,9050,,,N,0,,0,,,N,,N,"INDIANA
(39.766913, -86.149956)",
TENNESSEE,2015,17,170,,578,,761,,7805,,10237,,,N,0,,0,,,N,,N,"TENNESSEE
(35.680941, -85.774487)",
NEW ENGLAND,2015,17,198,,864,,1241,,13293,,15281,,,-,0,,1,,,-,2,,,
C.N.M.I.,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
OHIO,2015,17,471,,1058,,1249,,16792,,17309,,,-,0,,2,,2,,4,,"OHIO
(40.060212, -82.404257)",
NEVADA,2015,17,38,,183,,261,,2637,,5023,,,-,1,,5,,18,,31,,"NEVADA
(39.493242, -117.071839)",
FLORIDA,2015,17,1144,,1668,,2033,,27132,,25807,,,N,0,,0,,,N,,N,"FLORIDA
(28.932043, -81.928958)",
CONNECTICUT,2015,17,50,,239,,399,,3731,,4481,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.562661, -72.64984)",
MAINE,2015,17,83,,78,,123,,1347,,1003,,,N,0,,0,,,N,,N,"MAINE
(45.254229, -68.985026)",
S. ATLANTIC,2015,17,4098,,5487,,7260,,95614,,91677,,,-,0,,2,,2,,1,,,
WYOMING,2015,17,1,,30,,72,,457,,595,,,-,0,,1,,1,,,-,"WYOMING
(43.235541, -108.109827)",
NEBRASKA,2015,17,56,,148,,250,,2563,,2498,,,-,0,,1,,3,,1,,"NEBRASKA
(41.641044, -99.365719)",
MOUNTAIN,2015,17,795,,1792,,2306,,28132,,31814,,157,,92,,180,,1803,,2324,,,
IDAHO,2015,17,98,,101,,135,,1763,,1703,,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
OKLAHOMA,2015,17,62,,358,,455,,3844,,6717,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031, -97.521068)",
MINNESOTA,2015,17,1,,375,,430,,4333,,6378,,,-,1,,6,,23,,24,,"MINNESOTA
(46.355649, -94.7942)",
PACIFIC,2015,17,1986,,4440,,4968,,71592,,74582,,,-,35,,57,,433,,771,,,
MID. ATLANTIC,2015,17,2529,,3493,,3947,,58406,,55625,,,-,0,,0,,,-,,-,,
VIRGINIA,2015,17,578,,692,,1065,,12104,,11778,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542681, -78.457889)",
UNITED STATES,2015,17,12090,,27553,,29935,,428289,,463839,,157,,128,,234,,2272,,3149,,,
WASHINGTON,2015,17,439,,464,,595,,6472,,8499,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
NEW YORK CITY,2015,17,655,,1189,,1374,,19694,,19061,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.714268, -74.005969)",
RHODE ISLAND,2015,17,64,,83,,243,,1494,,1366,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
E.S. CENTRAL,2015,17,499,,1670,,2194,,22548,,37828,,,-,0,,0,,,-,,-,,
NEW YORK,2015,17,829,,750,,1166,,12472,,11117,,,N,0,,0,,,N,,N,"NEW YORK
(42.827004, -75.543966)",
ILLINOIS,2015,17,40,,1196,,1390,,13340,,20782,,,N,0,,0,,,N,,N,"ILLINOIS
(40.485012, -88.997709)",
LOUISIANA,2015,17,,-,450,,1165,,2506,,7210,,,-,0,,1,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
TEXAS,2015,17,,-,2604,,3265,,42915,,42196,,,N,0,,0,,,N,,N,"TEXAS
(31.82724, -99.426768)",
E.N. CENTRAL,2015,17,1610,,4092,,4902,,60066,,68110,,,-,1,,3,,7,,21,,,
KENTUCKY,2015,17,329,,313,,600,,4683,,5435,,,N,0,,0,,,N,,N,"KENTUCKY
(37.645973, -84.774968)",
ARKANSAS,2015,17,,-,304,,505,,4254,,5074,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865, -92.27449)",
DIST. OF COL.,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
MISSISSIPPI,2015,17,,-,343,,579,,2141,,13410,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513, -89.538027)",
MARYLAND,2015,17,503,,512,,936,,6566,,6969,,,-,0,,2,,2,,1,,"MARYLAND
(39.290583, -76.60926)",
AMER. SAMOA,2015,17,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
NEW HAMPSHIRE,2015,17,1,,57,,110,,74,,1050,,,-,0,,1,,,-,2,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
MONTANA,2015,17,,-,81,,126,,1279,,1283,,,-,0,,2,,3,,2,,"MONTANA
(47.066528, -109.424416)",
OREGON,2015,17,293,,305,,402,,5388,,5052,,,-,0,,1,,2,,,-,"OREGON
(44.56745, -120.155029)",
WISCONSIN,2015,17,297,,448,,553,,6963,,7587,,,-,0,,1,,,-,3,,"WISCONSIN
(44.393191, -89.816366)",
SOUTH CAROLINA,2015,17,452,,530,,837,,8904,,8855,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.998822, -81.045366)",
HAWAII,2015,17,,-,117,,162,,1772,,2090,,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
PENNSYLVANIA,2015,17,827,,987,,1353,,16843,,15717,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
MISSOURI,2015,17,155,,552,,631,,8839,,8807,,,-,0,,1,,1,,5,,"MISSOURI
(38.635791, -92.566299)",
DELAWARE,2015,17,89,,81,,166,,1384,,1265,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
VIRGIN ISL.,2015,17,,-,14,,29,,82,,256,,,-,0,,0,,,-,,-,VIRGIN ISL.,
COLORADO,2015,17,451,,440,,980,,7978,,6487,,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
NEW MEXICO,2015,17,94,,220,,372,,3959,,3768,,,-,0,,3,,3,,8,,"NEW MEXICO
(34.520881, -106.240578)",
W.S. CENTRAL,2015,17,62,,3724,,4491,,53519,,61197,,,-,0,,1,,,-,,-,,
NORTH CAROLINA,2015,17,846,,984,,2546,,23957,,18412,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.46622, -79.15925)",
GUAM,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
UTAH,2015,17,113,,155,,203,,2547,,2719,,,-,1,,3,,8,,15,,"UTAH
(39.360701, -111.587128)",
CALIFORNIA,2015,17,1253,,3405,,3969,,56480,,56940,,,-,35,,57,,431,,771,,"CALIFORNIA
(37.638642, -120.999996)",
GEORGIA,2015,17,451,,999,,1212,,14365,,17039,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683, -83.627579)",
ALABAMA,2015,17,,-,502,,701,,7919,,8746,,,N,0,,0,,,N,,N,"ALABAMA
(32.840572, -86.631857)",
PUERTO RICO,2015,17,,-,66,,317,,1428,,1917,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.248289, -66.49989)",
IOWA,2015,17,14,,227,,259,,3548,,3886,,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
NEW JERSEY,2015,17,218,,590,,690,,9397,,9730,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130571, -74.273688)",
KANSAS,2015,17,66,,214,,351,,3754,,3603,,,N,0,,0,,,N,,N,"KANSAS
(38.347743, -98.200778)",
MICHIGAN,2015,17,472,,882,,1222,,14225,,13382,,,-,0,,2,,5,,14,,"MICHIGAN
(44.661322, -84.714386)",
SOUTH DAKOTA,2015,17,21,,77,,103,,1228,,1402,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313, -100.373529)",
ARIZONA,2015,17,,-,595,,873,,7512,,10236,,157,,91,,177,,1770,,2268,,"ARIZONA
(34.865974, -111.763807)",
MASSACHUSETTS,2015,17,,-,400,,534,,6201,,6715,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
SOUTH DAKOTA,2015,20,15,,76,,103,,1448,,1642,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313, -100.373529)",
NEBRASKA,2015,20,178,,148,,250,,3096,,2938,,,-,0,,1,,3,,2,,"NEBRASKA
(41.641044, -99.365719)",
ARIZONA,2015,20,,-,593,,873,,8267,,11925,,143,,91,,159,,2144,,2717,,"ARIZONA
(34.865974, -111.763807)",
OHIO,2015,20,359,,1058,,1249,,19638,,20561,,,-,0,,2,,2,,5,,"OHIO
(40.060212, -82.404257)",
S. ATLANTIC,2015,20,3121,,5500,,7290,,111295,,108262,,,-,0,,2,,3,,2,,,
W.S. CENTRAL,2015,20,148,,3766,,4495,,64229,,73367,,,-,0,,1,,1,,,-,,
RHODE ISLAND,2015,20,123,,82,,243,,1821,,1739,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
NORTH DAKOTA,2015,20,,-,63,,89,,854,,1329,,,N,0,,1,,,N,,N,"NORTH DAKOTA
(47.475319, -100.118428)",
DIST. OF COL.,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
MAINE,2015,20,88,,78,,123,,1498,,1126,,,N,0,,0,,,N,,N,"MAINE
(45.254229, -68.985026)",
C.N.M.I.,2015,20,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
TEXAS,2015,20,,-,2591,,3275,,48822,,50368,,,N,0,,0,,,N,,N,"TEXAS
(31.82724, -99.426768)",
W.N. CENTRAL,2015,20,411,,1675,,1856,,30003,,32585,,,-,2,,5,,36,,45,,,
MARYLAND,2015,20,,-,501,,936,,6566,,8481,,,-,0,,2,,3,,2,,"MARYLAND
(39.290583, -76.60926)",
PACIFIC,2015,20,1562,,4447,,4967,,83975,,87760,,16,,36,,58,,664,,902,,,
COLORADO,2015,20,,-,440,,1009,,9228,,7942,,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
TENNESSEE,2015,20,165,,578,,761,,9737,,12004,,,N,0,,0,,,N,,N,"TENNESSEE
(35.680941, -85.774487)",
MOUNTAIN,2015,20,258,,1795,,2308,,32129,,37346,,143,,92,,161,,2186,,2784,,,
NEW YORK,2015,20,820,,755,,1166,,14886,,13310,,,N,0,,0,,,N,,N,"NEW YORK
(42.827004, -75.543966)",
MINNESOTA,2015,20,1,,372,,430,,5587,,7531,,,-,1,,5,,32,,37,,"MINNESOTA
(46.355649, -94.7942)",
WASHINGTON,2015,20,435,,457,,595,,7734,,9977,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
NEW HAMPSHIRE,2015,20,,-,54,,110,,76,,1241,,,-,0,,1,,,-,2,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
PENNSYLVANIA,2015,20,447,,991,,1353,,18985,,18324,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
MASSACHUSETTS,2015,20,,-,410,,534,,7414,,7767,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
CONNECTICUT,2015,20,164,,239,,399,,4570,,5220,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.562661, -72.64984)",
NEW JERSEY,2015,20,275,,593,,676,,11548,,11231,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130571, -74.273688)",
AMER. SAMOA,2015,20,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
WISCONSIN,2015,20,241,,449,,551,,8384,,8696,,,-,0,,1,,,-,3,,"WISCONSIN
(44.393191, -89.816366)",
MONTANA,2015,20,57,,82,,127,,1575,,1548,,,-,0,,2,,4,,3,,"MONTANA
(47.066528, -109.424416)",
INDIANA,2015,20,191,,541,,920,,10009,,10515,,,N,0,,0,,,N,,N,"INDIANA
(39.766913, -86.149956)",
MISSISSIPPI,2015,20,,-,323,,518,,2559,,14794,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513, -89.538027)",
DELAWARE,2015,20,106,,84,,166,,1674,,1531,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
NEW MEXICO,2015,18,116,,219,,375,,4203,,3998,,,-,0,,3,,3,,10,,"NEW MEXICO
(34.520881, -106.240578)",
WASHINGTON,2015,18,434,,462,,595,,6906,,8967,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
ARIZONA,2015,18,570,,594,,873,,8267,,10699,,159,,91,,177,,1896,,2391,,"ARIZONA
(34.865974, -111.763807)",
