Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
NEW ENGLAND,2021,25,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND,20212502,
RHODE ISLAND,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20212507,POINT (-71.534637 41.572574)
OREGON,2021,25,,-,0,,,-,,-,,-,2,,5,,5,,OREGON,,20212561,POINT (-120.605279 43.940449)
DELAWARE,2021,25,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20212529,POINT (-75.452394 38.994926)
ALABAMA,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20212539,POINT (-86.844516 32.756889)
KANSAS,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20212522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20212534,POINT (-79.130883 35.52603)
GUAM,2021,25,,-,0,,,-,,-,,-,1,,1,,,-,GUAM,,20212566,POINT (144.653198 13.3532)
NEW JERSEY,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20212510,POINT (-74.655514 40.110253)
NEW MEXICO,2021,25,,-,0,,,-,,-,,-,1,,,-,1,,NEW MEXICO,,20212554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,25,,-,0,,,-,,-,1,,5,,24,,41,,,EAST NORTH CENTRAL,20212514,
TENNESSEE,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20212542,POINT (-86.343226 35.842998)
CONNECTICUT,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20212503,POINT (-72.738288 41.575155)
MARYLAND,2021,25,,-,0,,,-,,-,,-,2,,3,,2,,MARYLAND,,20212533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20212535,POINT (-80.864614 33.878572)
OKLAHOMA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20212546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20212565,POINT (145.725693 15.1834)
OHIO,2021,25,,-,0,,,-,,-,1,,4,,5,,5,,OHIO,,20212518,POINT (-82.70936 40.415534)
MINNESOTA,2021,25,,-,0,,,-,,-,2,,5,,62,,46,,MINNESOTA,,20212523,POINT (-94.198308 46.349153)
LOUISIANA,2021,25,,-,1,,,-,,-,,-,2,,3,,4,,LOUISIANA,,20212545,POINT (-91.840238 30.921314)
HAWAII,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20212560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,25,,-,1,,,-,,-,,-,2,,3,,2,,,SOUTH ATLANTIC,20212528,
PENNSYLVANIA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20212513,POINT (-77.838886 40.896694)
UTAH,2021,25,,-,0,,,-,,-,,-,4,,22,,27,,UTAH,,20212555,POINT (-111.678222 39.323779)
COLORADO,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20212550,POINT (-105.547832 38.998552)
VERMONT,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20212508,POINT (-72.662695 44.075252)
NORTH DAKOTA,2021,33,,-,0,,,-,,-,,-,1,,2,,8,,NORTH DAKOTA,,20213326,POINT (-100.46931 47.446305)
ILLINOIS,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20213315,POINT (-89.148632 40.124144)
IOWA,2021,33,,-,1,,1,,,-,,N,,NC,,N,,N,IOWA,,20213321,POINT (-93.500061 42.074659)
KENTUCKY,2021,25,,-,0,,,-,,-,,-,1,,1,,6,,KENTUCKY,,20212540,POINT (-85.290484 37.526683)
PUERTO RICO,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20212567,POINT (-66.414655 18.215692)
MAINE,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20212504,POINT (-69.06137 45.117911)
VIRGINIA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20212536,POINT (-78.666382 37.510861)
ARIZONA,2021,25,,-,0,,,-,,-,187,,385,,6068,,4104,,ARIZONA,,20212549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20212564,
WISCONSIN,2021,25,,-,0,,,-,,-,,-,1,,4,,15,,WISCONSIN,,20212519,POINT (-89.732969 44.639954)
IDAHO,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20212551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20212568,POINT (-64.840836 18.060868)
MICHIGAN,2021,25,,-,0,,,-,,-,,-,3,,15,,19,,MICHIGAN,,20212517,POINT (-85.730977 44.874798)
GEORGIA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20212532,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20212512,
ARKANSAS,2021,25,,-,0,,,-,,-,,-,1,,1,,4,,ARKANSAS,,20212544,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20212541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20212527,POINT (-100.230491 44.43614)
WYOMING,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20212556,POINT (-107.55145 42.999627)
MISSOURI,2021,25,,-,0,,,-,,-,,-,1,,,-,10,,MISSOURI,,20212524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20212509,
CALIFORNIA,2021,25,,-,0,,,-,,-,57,,196,,2515,,2917,,CALIFORNIA,,20212559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20212537,POINT (-80.613729 38.642579)
FLORIDA,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20212531,POINT (-82.420978 28.260731)
MONTANA,2021,25,,-,0,,,-,,-,,-,2,,9,,7,,MONTANA,,20212552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,25,,-,0,,,-,,-,2,,5,,66,,68,,,WEST NORTH CENTRAL,20212520,
MASSACHUSETTS,2021,25,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20212505,POINT (-71.481104 42.151077)
MOUNTAIN,2021,25,,-,0,,,-,,-,187,,388,,6175,,4225,,,MOUNTAIN,20212548,
INDIANA,2021,25,,-,0,,,-,,-,,-,0,,,-,2,,INDIANA,,20212516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,25,,-,0,,,-,,-,,-,1,,,-,1,,,NON-US RESIDENTS,20212569,
US TERRITORIES,2021,25,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20212563,
DISTRICT OF COLUMBIA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20213330,POINT (-77.016275 38.904785)
NEW ENGLAND,2021,33,,-,0,,,-,,-,,-,2,,,-,1,,,NEW ENGLAND,20213302,
RHODE ISLAND,2021,33,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20213307,POINT (-71.534637 41.572574)
DELAWARE,2021,33,,-,1,,1,,,-,,-,0,,,-,,-,DELAWARE,,20213329,POINT (-75.452394 38.994926)
KANSAS,2021,33,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20213322,POINT (-98.38018 38.484729)
NEW JERSEY,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20213310,POINT (-74.655514 40.110253)
NEW MEXICO,2021,33,,-,0,,,-,,-,,-,1,,,-,2,,NEW MEXICO,,20213354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,33,,-,1,,1,,,-,,-,5,,43,,57,,,EAST NORTH CENTRAL,20213314,
TENNESSEE,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20213342,POINT (-86.343226 35.842998)
CONNECTICUT,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20213303,POINT (-72.738288 41.575155)
MARYLAND,2021,33,,-,0,,,-,,-,,-,2,,3,,4,,MARYLAND,,20213333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20213335,POINT (-80.864614 33.878572)
OKLAHOMA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20213346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,33,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20213365,POINT (145.725693 15.1834)
OHIO,2021,33,,-,1,,1,,,-,,-,4,,9,,5,,OHIO,,20213318,POINT (-82.70936 40.415534)
MINNESOTA,2021,33,,-,0,,,-,,-,1,,5,,80,,63,,MINNESOTA,,20213323,POINT (-94.198308 46.349153)
LOUISIANA,2021,33,,-,1,,,-,,-,,-,2,,3,,4,,LOUISIANA,,20213345,POINT (-91.840238 30.921314)
HAWAII,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20213360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,33,,-,1,,1,,,-,,-,2,,3,,4,,,SOUTH ATLANTIC,20213328,
PENNSYLVANIA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20213313,POINT (-77.838886 40.896694)
UTAH,2021,33,,-,0,,,-,,-,,-,4,,28,,36,,UTAH,,20213355,POINT (-111.678222 39.323779)
WASHINGTON,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20212862,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,28,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND,20212802,
RHODE ISLAND,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20212807,POINT (-71.534637 41.572574)
OREGON,2021,28,,-,0,,,-,,-,,-,2,,5,,5,,OREGON,,20212861,POINT (-120.605279 43.940449)
DELAWARE,2021,28,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20212829,POINT (-75.452394 38.994926)
ALABAMA,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20212839,POINT (-86.844516 32.756889)
KANSAS,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20212822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20212834,POINT (-79.130883 35.52603)
GUAM,2021,28,,-,0,,,-,,-,,-,1,,1,,,-,GUAM,,20212866,POINT (144.653198 13.3532)
NEW JERSEY,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20212810,POINT (-74.655514 40.110253)
NEW MEXICO,2021,28,,-,0,,,-,,-,,-,1,,,-,1,,NEW MEXICO,,20212854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,28,,-,1,,,-,,-,,-,5,,33,,45,,,EAST NORTH CENTRAL,20212814,
TENNESSEE,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20212842,POINT (-86.343226 35.842998)
CONNECTICUT,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20212803,POINT (-72.738288 41.575155)
MARYLAND,2021,28,,-,0,,,-,,-,,-,2,,3,,2,,MARYLAND,,20212833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20212835,POINT (-80.864614 33.878572)
OKLAHOMA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20212846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20212865,POINT (145.725693 15.1834)
OHIO,2021,28,,-,1,,,-,,-,,-,4,,8,,5,,OHIO,,20212818,POINT (-82.70936 40.415534)
MINNESOTA,2021,28,,-,0,,,-,,-,,-,5,,68,,50,,MINNESOTA,,20212823,POINT (-94.198308 46.349153)
LOUISIANA,2021,28,,-,1,,,-,,-,,-,2,,3,,4,,LOUISIANA,,20212845,POINT (-91.840238 30.921314)
HAWAII,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20212860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,28,,-,1,,,-,,-,,-,2,,3,,2,,,SOUTH ATLANTIC,20212828,
PENNSYLVANIA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20212813,POINT (-77.838886 40.896694)
UTAH,2021,28,,-,0,,,-,,-,,-,4,,23,,29,,UTAH,,20212855,POINT (-111.678222 39.323779)
COLORADO,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20212850,POINT (-105.547832 38.998552)
VERMONT,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20212808,POINT (-72.662695 44.075252)
KENTUCKY,2021,28,,-,0,,,-,,-,,-,1,,1,,6,,KENTUCKY,,20212840,POINT (-85.290484 37.526683)
PUERTO RICO,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20212867,POINT (-66.414655 18.215692)
MAINE,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20212804,POINT (-69.06137 45.117911)
VIRGINIA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20212836,POINT (-78.666382 37.510861)
ARIZONA,2021,28,,-,0,,,-,,-,207,,385,,6638,,4610,,ARIZONA,,20212849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20212864,
WISCONSIN,2021,28,,-,0,,,-,,-,,-,1,,4,,16,,WISCONSIN,,20212819,POINT (-89.732969 44.639954)
IDAHO,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20212851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20212868,POINT (-64.840836 18.060868)
MICHIGAN,2021,28,,-,0,,,-,,-,,-,3,,21,,22,,MICHIGAN,,20212817,POINT (-85.730977 44.874798)
GEORGIA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20212832,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20212812,
ARKANSAS,2021,28,,-,0,,,-,,-,,-,1,,1,,4,,ARKANSAS,,20212844,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20212841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20212827,POINT (-100.230491 44.43614)
WYOMING,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20212856,POINT (-107.55145 42.999627)
MISSOURI,2021,28,,-,0,,,-,,-,,-,2,,11,,11,,MISSOURI,,20212824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,28,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20212809,
CALIFORNIA,2021,28,,-,0,,,-,,-,52,,199,,3109,,3408,,CALIFORNIA,,20212859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20212837,POINT (-80.613729 38.642579)
FLORIDA,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20212831,POINT (-82.420978 28.260731)
MONTANA,2021,28,,-,0,,,-,,-,,-,2,,9,,7,,MONTANA,,20212852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,28,,-,0,,,-,,-,,-,7,,83,,74,,,WEST NORTH CENTRAL,20212820,
MASSACHUSETTS,2021,28,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20212805,POINT (-71.481104 42.151077)
MOUNTAIN,2021,28,,-,0,,,-,,-,208,,388,,6753,,4749,,,MOUNTAIN,20212848,
INDIANA,2021,28,,-,0,,,-,,-,,-,0,,,-,2,,INDIANA,,20212816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,28,,-,0,,,-,,-,,-,1,,1,,2,,,NON-US RESIDENTS,20212869,
US TERRITORIES,2021,28,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20212863,
COLORADO,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20213350,POINT (-105.547832 38.998552)
VERMONT,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20213308,POINT (-72.662695 44.075252)
KENTUCKY,2021,33,,-,0,,,-,,-,,-,1,,2,,6,,KENTUCKY,,20213340,POINT (-85.290484 37.526683)
PUERTO RICO,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20213367,POINT (-66.414655 18.215692)
MAINE,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20213304,POINT (-69.06137 45.117911)
VIRGINIA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20213336,POINT (-78.666382 37.510861)
ARIZONA,2021,33,,-,0,,,-,,-,126,,385,,7500,,5607,,ARIZONA,,20213349,POINT (-111.664616 34.293239)
WISCONSIN,2021,33,,-,0,,,-,,-,,-,1,,4,,16,,WISCONSIN,,20213319,POINT (-89.732969 44.639954)
IDAHO,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20213351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,33,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20213368,POINT (-64.840836 18.060868)
MICHIGAN,2021,33,,-,0,,,-,,-,,-,3,,29,,25,,MICHIGAN,,20213317,POINT (-85.730977 44.874798)
GEORGIA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20213332,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20213312,
ARKANSAS,2021,33,,-,0,,,-,,-,,-,1,,2,,5,,ARKANSAS,,20213344,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20213341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,33,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20213327,POINT (-100.230491 44.43614)
WYOMING,2021,33,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20213356,POINT (-107.55145 42.999627)
MISSOURI,2021,33,,-,0,,,-,,-,,-,2,,11,,13,,MISSOURI,,20213324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,33,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20213309,
CALIFORNIA,2021,33,,-,0,,,-,,-,26,,199,,3741,,3876,,CALIFORNIA,,20213359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20213337,POINT (-80.613729 38.642579)
FLORIDA,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20213331,POINT (-82.420978 28.260731)
MONTANA,2021,33,,-,0,,,-,,-,,-,3,,15,,10,,MONTANA,,20213352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,33,,-,1,,1,,,-,1,,7,,95,,95,,,WEST NORTH CENTRAL,20213320,
MASSACHUSETTS,2021,33,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20213305,POINT (-71.481104 42.151077)
MOUNTAIN,2021,33,,-,0,,,-,,-,126,,389,,7651,,5767,,,MOUNTAIN,20213348,
INDIANA,2021,33,,-,0,,,-,,-,,-,1,,1,,11,,INDIANA,,20213316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,33,,-,0,,,-,,-,,-,1,,1,,2,,,NON-US RESIDENTS,20213369,
US TERRITORIES,2021,33,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20213363,
INDIANA,2021,39,,-,0,,,-,,-,,-,1,,3,,11,,INDIANA,,20213916,POINT (-86.2818 39.919991)
US TERRITORIES,2021,39,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20213963,
TOTAL,2021,48,,-,1,,2,,1,,345,,565,,17964,,16921,,,TOTAL,20214870,
US RESIDENTS,2021,48,,-,1,,2,,1,,345,,565,,17961,,16918,,,US RESIDENTS,20214801,
NEW HAMPSHIRE,2021,48,,-,0,,,-,,-,,-,0,,,-,2,,NEW HAMPSHIRE,,20214806,POINT (-71.57139 43.680429)
NEW YORK,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20214811,POINT (-75.59655 42.921241)
PACIFIC,2021,48,,-,1,,1,,,-,55,,188,,7023,,6549,,,PACIFIC,20214857,
WEST SOUTH CENTRAL,2021,48,,-,0,,,-,1,,1,,2,,13,,14,,,WEST SOUTH CENTRAL,20214843,
NEBRASKA,2021,48,,-,0,,,-,,-,,-,1,,5,,15,,NEBRASKA,,20214825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,48,,-,0,,,-,,-,,-,2,,18,,10,,,EAST SOUTH CENTRAL,20214838,
NORTH DAKOTA,2021,48,,-,0,,,-,,-,,-,1,,2,,9,,NORTH DAKOTA,,20214826,POINT (-100.46931 47.446305)
NEVADA,2021,48,,-,0,,,-,,-,,-,8,,159,,169,,NEVADA,,20214853,POINT (-114.916992 39.283294)
ILLINOIS,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20214815,POINT (-89.148632 40.124144)
IOWA,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20214821,POINT (-93.500061 42.074659)
TEXAS,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20214847,POINT (-99.317341 31.447238)
ALASKA,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20214858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20214830,POINT (-77.016275 38.904785)
WASHINGTON,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20214862,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,48,,-,0,,,-,,-,,-,0,,,-,2,,,NEW ENGLAND,20214802,
RHODE ISLAND,2021,48,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20214807,POINT (-71.534637 41.572574)
OREGON,2021,48,,-,0,,,-,,-,,-,2,,6,,9,,OREGON,,20214861,POINT (-120.605279 43.940449)
DELAWARE,2021,48,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20214829,POINT (-75.452394 38.994926)
ALABAMA,2021,48,,-,0,,,-,,-,,-,2,,9,,3,,ALABAMA,,20214839,POINT (-86.844516 32.756889)
KANSAS,2021,48,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20214822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20214834,POINT (-79.130883 35.52603)
GUAM,2021,48,,-,0,,,-,,-,,-,1,,1,,,-,GUAM,,20214866,POINT (144.653198 13.3532)
NEW JERSEY,2021,48,,-,1,,1,,,-,,N,,NC,,N,,N,NEW JERSEY,,20214810,POINT (-74.655514 40.110253)
NEW MEXICO,2021,48,,-,0,,,-,,-,,-,1,,2,,49,,NEW MEXICO,,20214854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,48,,-,0,,,-,,-,,-,5,,62,,81,,,EAST NORTH CENTRAL,20214814,
TENNESSEE,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20214842,POINT (-86.343226 35.842998)
CONNECTICUT,2021,48,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20214803,POINT (-72.738288 41.575155)
TOTAL,2021,29,,-,2,,,-,,-,271,,575,,10359,,8611,,,TOTAL,20212970,
US RESIDENTS,2021,29,,-,2,,,-,,-,271,,575,,10357,,8609,,,US RESIDENTS,20212901,
NEW HAMPSHIRE,2021,29,,-,0,,,-,,-,,-,1,,,-,1,,NEW HAMPSHIRE,,20212906,POINT (-71.57139 43.680429)
NEW YORK,2021,29,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20212911,POINT (-75.59655 42.921241)
PACIFIC,2021,29,,-,0,,,-,,-,45,,200,,3247,,3518,,,PACIFIC,20212957,
WEST SOUTH CENTRAL,2021,29,,-,1,,,-,,-,,-,2,,4,,8,,,WEST SOUTH CENTRAL,20212943,
NEBRASKA,2021,29,,-,0,,,-,,-,,-,1,,2,,10,,NEBRASKA,,20212925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,29,,-,0,,,-,,-,,-,1,,2,,6,,,EAST SOUTH CENTRAL,20212938,
NORTH DAKOTA,2021,29,,-,0,,,-,,-,,-,1,,2,,3,,NORTH DAKOTA,,20212926,POINT (-100.46931 47.446305)
NEVADA,2021,29,,-,0,,,-,,-,,-,8,,92,,104,,NEVADA,,20212953,POINT (-114.916992 39.283294)
ILLINOIS,2021,29,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20212915,POINT (-89.148632 40.124144)
IOWA,2021,29,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20212921,POINT (-93.500061 42.074659)
TEXAS,2021,29,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20212947,POINT (-99.317341 31.447238)
ALASKA,2021,29,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20212958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,29,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20212930,POINT (-77.016275 38.904785)
WASHINGTON,2021,29,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20212962,POINT (-120.592492 47.411715)
