Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2022†","Cholera, Cum 2022†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2022†","Coccidioidomycosis, Cum 2022†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocoding
OKLAHOMA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,202200446,POINT (-97.508297 35.583449)
AMERICAN SAMOA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,AMERICAN SAMOA,,202200464,
SOUTH ATLANTIC,2022,4,,-,0,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,202200428,
MIDDLE ATLANTIC,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200409,
UTAH,2022,4,,-,0,,,-,,-,,-,5,,,-,4,,UTAH,,202200455,POINT (-111.678222 39.323779)
MOUNTAIN,2022,4,,-,0,,,-,,-,,-,334,,497,,1245,,,MOUNTAIN,202200448,
CONNECTICUT,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,202200403,POINT (-72.738288 41.575155)
KANSAS,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200422,POINT (-98.38018 38.484729)
VIRGINIA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,202200436,POINT (-78.666382 37.510861)
US RESIDENTS,2022,4,,-,1,,,-,,-,2,,496,,545,,1893,,,US RESIDENTS,202200401,
MAINE,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,202200404,POINT (-69.06137 45.117911)
IDAHO,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,202200451,POINT (-114.659366 44.389073)
OREGON,2022,4,,-,0,,,-,,-,,-,1,,,-,2,,OREGON,,202200461,POINT (-120.605279 43.940449)
ARIZONA,2022,4,,-,0,,,-,,-,,-,333,,488,,1225,,ARIZONA,,202200449,POINT (-111.664616 34.293239)
GUAM,2022,4,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,202200466,POINT (144.653198 13.3532)
ARKANSAS,2022,4,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200444,POINT (-92.439162 34.899825)
HAWAII,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,202200460,POINT (-157.854309 21.361013)
NEBRASKA,2022,4,,-,0,,,-,,-,,-,6,,1,,1,,NEBRASKA,,202200425,POINT (-99.810595 41.527099)
PUERTO RICO,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,202200467,POINT (-66.414655 18.215692)
NEVADA,2022,4,,-,0,,,-,,-,,-,8,,7,,15,,NEVADA,,202200453,POINT (-114.916992 39.283294)
RHODE ISLAND,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200407,POINT (-71.534637 41.572574)
MONTANA,2022,4,,-,0,,,-,,-,,-,3,,2,,1,,MONTANA,,202200452,POINT (-109.645127 47.033521)
NEW JERSEY,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,202200410,POINT (-74.655514 40.110253)
IOWA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,202200421,POINT (-93.500061 42.074659)
COLORADO,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,202200450,POINT (-105.547832 38.998552)
LOUISIANA,2022,4,,-,0,,,-,,-,,-,2,,,-,,-,LOUISIANA,,202200445,POINT (-91.840238 30.921314)
SOUTH DAKOTA,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200427,POINT (-100.230491 44.43614)
MARYLAND,2022,4,,-,0,,,-,,-,,-,2,,,-,,-,MARYLAND,,202200433,POINT (-76.687282 38.946466)
DELAWARE,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200429,POINT (-75.452394 38.994926)
EAST NORTH CENTRAL,2022,4,,-,0,,,-,,-,,-,5,,2,,3,,,EAST NORTH CENTRAL,202200414,
PACIFIC,2022,4,,-,1,,,-,,-,2,,207,,44,,627,,,PACIFIC,202200457,
MICHIGAN,2022,4,,-,0,,,-,,-,,-,3,,,-,2,,MICHIGAN,,202200417,POINT (-85.730977 44.874798)
NON-US RESIDENTS,2022,4,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,202200469,
NEW MEXICO,2022,4,,-,0,,,-,,-,,-,2,,,-,,-,NEW MEXICO,,202200454,POINT (-106.108388 34.421369)
NEW ENGLAND,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,202200402,
US TERRITORIES,2022,4,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,202200463,
MISSISSIPPI,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,202200441,POINT (-89.65344 32.713378)
NEW YORK,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,202200411,POINT (-75.59655 42.921241)
ALASKA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,202200458,POINT (-151.631889 63.631126)
WEST SOUTH CENTRAL,2022,4,,-,0,,,-,,-,,-,2,,,-,,-,,WEST SOUTH CENTRAL,202200443,
FLORIDA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,202200431,POINT (-82.420978 28.260731)
MISSOURI,2022,4,,-,0,,,-,,-,,-,2,,,-,2,,MISSOURI,,202200424,POINT (-92.477244 38.3675)
ILLINOIS,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,202200415,POINT (-89.148632 40.124144)
WYOMING,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200456,POINT (-107.55145 42.999627)
WEST VIRGINIA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,202200437,POINT (-80.613729 38.642579)
DISTRICT OF COLUMBIA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,202200430,POINT (-77.016275 38.904785)
EAST SOUTH CENTRAL,2022,4,,-,0,,,-,,-,,-,2,,1,,1,,,EAST SOUTH CENTRAL,202200438,
SOUTH CAROLINA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,202200435,POINT (-80.864614 33.878572)
MINNESOTA,2022,4,,-,0,,,-,,-,,-,5,,,-,12,,MINNESOTA,,202200423,POINT (-94.198308 46.349153)
MASSACHUSETTS,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,202200405,POINT (-71.481104 42.151077)
TENNESSEE,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,202200442,POINT (-86.343226 35.842998)
WISCONSIN,2022,4,,-,0,,,-,,-,,-,2,,,-,1,,WISCONSIN,,202200419,POINT (-89.732969 44.639954)
OHIO,2022,4,,-,0,,,-,,-,,-,2,,2,,,-,OHIO,,202200418,POINT (-82.70936 40.415534)
NORTH CAROLINA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,202200434,POINT (-79.130883 35.52603)
NORTH DAKOTA,2022,4,,-,0,,,-,,-,,-,1,,,-,2,,NORTH DAKOTA,,202200426,POINT (-100.46931 47.446305)
CALIFORNIA,2022,4,,-,1,,,-,,-,2,,207,,44,,625,,CALIFORNIA,,202200459,POINT (-119.662127 37.211164)
ALABAMA,2022,4,,-,0,,,-,,-,,-,2,,,-,1,,ALABAMA,,202200439,POINT (-86.844516 32.756889)
GEORGIA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,202200432,POINT (-83.426574 32.638481)
US RESIDENTS,2022,5,,-,1,,,-,,-,12,,495,,851,,2360,,,US RESIDENTS,202200501,
SOUTH DAKOTA,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200527,POINT (-100.230491 44.43614)
US TERRITORIES,2022,5,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,202200563,
TEXAS,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,202200547,POINT (-99.317341 31.447238)
WISCONSIN,2022,5,,-,0,,,-,,-,,-,2,,,-,1,,WISCONSIN,,202200519,POINT (-89.732969 44.639954)
OHIO,2022,5,,-,0,,,-,,-,,-,2,,2,,,-,OHIO,,202200518,POINT (-82.70936 40.415534)
FLORIDA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,202200531,POINT (-82.420978 28.260731)
DISTRICT OF COLUMBIA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,202200530,POINT (-77.016275 38.904785)
NEVADA,2022,5,,-,0,,,-,,-,,-,8,,7,,16,,NEVADA,,202200553,POINT (-114.916992 39.283294)
VIRGINIA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,202200536,POINT (-78.666382 37.510861)
OREGON,2022,5,,-,0,,,-,,-,,-,1,,,-,2,,OREGON,,202200561,POINT (-120.605279 43.940449)
MASSACHUSETTS,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,202200505,POINT (-71.481104 42.151077)
PENNSYLVANIA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,202200513,POINT (-77.838886 40.896694)
ALASKA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,202200558,POINT (-151.631889 63.631126)
SOUTH CAROLINA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,202200535,POINT (-80.864614 33.878572)
DELAWARE,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200529,POINT (-75.452394 38.994926)
NON-US RESIDENTS,2022,5,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,202200569,
MINNESOTA,2022,5,,-,0,,,-,,-,,-,5,,,-,14,,MINNESOTA,,202200523,POINT (-94.198308 46.349153)
GUAM,2022,5,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,202200566,POINT (144.653198 13.3532)
NEW JERSEY,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,202200510,POINT (-74.655514 40.110253)
NORTH DAKOTA,2022,5,,-,0,,,-,,-,,-,1,,,-,2,,NORTH DAKOTA,,202200526,POINT (-100.46931 47.446305)
MISSISSIPPI,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,202200541,POINT (-89.65344 32.713378)
MISSOURI,2022,5,,-,0,,,-,,-,,-,2,,,-,2,,MISSOURI,,202200524,POINT (-92.477244 38.3675)
PUERTO RICO,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,202200567,POINT (-66.414655 18.215692)
NEW HAMPSHIRE,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200506,POINT (-71.57139 43.680429)
NORTH CAROLINA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,202200534,POINT (-79.130883 35.52603)
UTAH,2022,5,,-,0,,,-,,-,,-,5,,,-,7,,UTAH,,202200555,POINT (-111.678222 39.323779)
MONTANA,2022,5,,-,0,,,-,,-,,-,3,,3,,1,,MONTANA,,202200552,POINT (-109.645127 47.033521)
COLORADO,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,202200550,POINT (-105.547832 38.998552)
LOUISIANA,2022,5,,-,0,,,-,,-,,-,2,,,-,,-,LOUISIANA,,202200545,POINT (-91.840238 30.921314)
INDIANA,2022,5,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,202200516,POINT (-86.2818 39.919991)
NEW MEXICO,2022,5,,-,0,,,-,,-,,-,2,,1,,,-,NEW MEXICO,,202200554,POINT (-106.108388 34.421369)
MOUNTAIN,2022,5,,-,0,,,-,,-,,-,329,,679,,1548,,,MOUNTAIN,202200548,
HAWAII,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,202200560,POINT (-157.854309 21.361013)
EAST NORTH CENTRAL,2022,5,,-,0,,,-,,-,,-,5,,2,,4,,,EAST NORTH CENTRAL,202200514,
IOWA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,202200521,POINT (-93.500061 42.074659)
MICHIGAN,2022,5,,-,0,,,-,,-,,-,3,,,-,3,,MICHIGAN,,202200517,POINT (-85.730977 44.874798)
SOUTH ATLANTIC,2022,5,,-,0,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,202200528,
CALIFORNIA,2022,5,,-,1,,,-,,-,12,,208,,168,,786,,CALIFORNIA,,202200559,POINT (-119.662127 37.211164)
OKLAHOMA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,202200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200565,POINT (145.725693 15.1834)
MARYLAND,2022,5,,-,0,,,-,,-,,-,2,,,-,,-,MARYLAND,,202200533,POINT (-76.687282 38.946466)
NEW YORK,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,202200511,POINT (-75.59655 42.921241)
KENTUCKY,2022,5,,-,0,,,-,,-,,-,1,,1,,,-,KENTUCKY,,202200540,POINT (-85.290484 37.526683)
TENNESSEE,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,202200542,POINT (-86.343226 35.842998)
MAINE,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,202200504,POINT (-69.06137 45.117911)
PACIFIC,2022,5,,-,1,,,-,,-,12,,208,,168,,788,,,PACIFIC,202200557,
KANSAS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200522,POINT (-98.38018 38.484729)
RHODE ISLAND,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200507,POINT (-71.534637 41.572574)
WEST NORTH CENTRAL,2022,5,,-,0,,,-,,-,,-,7,,1,,19,,,WEST NORTH CENTRAL,202200520,
ALABAMA,2022,5,,-,0,,,-,,-,,-,2,,,-,1,,ALABAMA,,202200539,POINT (-86.844516 32.756889)
VERMONT,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,202200508,POINT (-72.662695 44.075252)
WYOMING,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200556,POINT (-107.55145 42.999627)
NEBRASKA,2022,5,,-,0,,,-,,-,,-,6,,1,,1,,NEBRASKA,,202200525,POINT (-99.810595 41.527099)
NEW YORK CITY,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK CITY,,202200512,
ILLINOIS,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,202200515,POINT (-89.148632 40.124144)
NEW ENGLAND,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,202200502,
MIDDLE ATLANTIC,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200509,
ARKANSAS,2022,5,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200544,POINT (-92.439162 34.899825)
EAST SOUTH CENTRAL,2022,5,,-,0,,,-,,-,,-,2,,1,,1,,,EAST SOUTH CENTRAL,202200538,
CONNECTICUT,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,202200503,POINT (-72.738288 41.575155)
WEST SOUTH CENTRAL,2022,5,,-,0,,,-,,-,,-,2,,,-,,-,,WEST SOUTH CENTRAL,202200543,
U.S. VIRGIN ISLANDS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200568,
AMERICAN SAMOA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,AMERICAN SAMOA,,202200564,
WASHINGTON,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,202200562,POINT (-120.592492 47.411715)
ARIZONA,2022,5,,-,0,,,-,,-,,-,328,,668,,1524,,ARIZONA,,202200549,POINT (-111.664616 34.293239)
GEORGIA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,202200532,POINT (-83.426574 32.638481)
IDAHO,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,202200551,POINT (-114.659366 44.389073)
WEST VIRGINIA,2022,5,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,202200537,POINT (-80.613729 38.642579)
