Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
IOWA,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20201521,POINT (-93.500061 42.074659)
NEW ENGLAND,2020,15,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
TOTAL,2020,13,,-,2,,,-,2,,111,,438,,3201,,4630,,,TOTAL,20201370,
NEW HAMPSHIRE,2020,13,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20201306,POINT (-71.57139 43.680429)
NEW YORK,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20201311,POINT (-75.59655 42.921241)
PACIFIC,2020,13,,-,0,,,-,,-,,-,180,,206,,2214,,,PACIFIC,20201357,
WEST SOUTH CENTRAL,2020,13,,-,0,,,-,,-,,-,3,,4,,6,,,WEST SOUTH CENTRAL,20201343,
NEBRASKA,2020,13,,-,0,,,-,,-,,-,2,,3,,,-,NEBRASKA,,20201325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,13,,-,0,,,-,,-,,-,1,,1,,1,,,EAST SOUTH CENTRAL,20201338,
NORTH DAKOTA,2020,13,,-,0,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,20201326,POINT (-100.46931 47.446305)
NEVADA,2020,13,,-,1,,,-,,-,1,,7,,16,,24,,NEVADA,,20201353,POINT (-114.916992 39.283294)
ILLINOIS,2020,13,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20201315,POINT (-89.148632 40.124144)
IOWA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20201321,POINT (-93.500061 42.074659)
TEXAS,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20201347,POINT (-99.317341 31.447238)
ALASKA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20201358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20201330,POINT (-77.016275 38.904785)
WASHINGTON,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20201362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,13,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20201302,
RHODE ISLAND,2020,13,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20201307,POINT (-71.534637 41.572574)
OREGON,2020,13,,-,0,,,-,,-,,-,1,,1,,1,,OREGON,,20201361,POINT (-120.605279 43.940449)
DELAWARE,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201329,POINT (-75.452394 38.994926)
ALABAMA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20201339,POINT (-86.844516 32.756889)
KANSAS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20201334,POINT (-79.130883 35.52603)
GUAM,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201366,POINT (144.653198 13.3532)
NEW JERSEY,2020,13,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20201310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,13,,-,0,,,-,,-,,-,9,,,-,39,,NEW MEXICO,,20201354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,13,,-,1,,,-,2,,,-,5,,9,,17,,,EAST NORTH CENTRAL,20201314,
TENNESSEE,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20201342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20201303,POINT (-72.738288 41.575155)
MARYLAND,2020,13,,-,1,,,-,,-,,-,1,,1,,2,,MARYLAND,,20201333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20201335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20201346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201365,POINT (145.725693 15.1834)
OHIO,2020,13,,-,0,,,-,,-,,-,3,,3,,5,,OHIO,,20201318,POINT (-82.70936 40.415534)
OREGON,2020,15,,-,0,,,-,,-,,-,1,,2,,1,,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
MINNESOTA,2020,13,,-,0,,,-,,-,1,,6,,17,,22,,MINNESOTA,,20201323,POINT (-94.198308 46.349153)
LOUISIANA,2020,13,,-,0,,,-,,-,,-,3,,1,,4,,LOUISIANA,,20201345,POINT (-91.840238 30.921314)
HAWAII,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20201360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,13,,-,1,,,-,,-,,-,1,,1,,2,,,SOUTH ATLANTIC,20201328,
PENNSYLVANIA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20201313,POINT (-77.838886 40.896694)
UTAH,2020,13,,-,0,,,-,,-,,-,4,,1,,17,,UTAH,,20201355,POINT (-111.678222 39.323779)
COLORADO,2020,13,,-,1,,,-,,-,,N,,NC,,N,,N,COLORADO,,20201350,POINT (-105.547832 38.998552)
VERMONT,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20201308,POINT (-72.662695 44.075252)
KENTUCKY,2020,13,,-,0,,,-,,-,,-,1,,1,,1,,KENTUCKY,,20201340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20201367,POINT (-66.414655 18.215692)
MAINE,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20201304,POINT (-69.06137 45.117911)
VIRGINIA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20201336,POINT (-78.666382 37.510861)
ARIZONA,2020,13,,-,0,,,-,,-,109,,318,,2936,,2276,,ARIZONA,,20201349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20201364,
WISCONSIN,2020,13,,-,0,,,-,,-,,-,2,,,-,4,,WISCONSIN,,20201319,POINT (-89.732969 44.639954)
IDAHO,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20201351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201368,POINT (-64.840836 18.060868)
MICHIGAN,2020,13,,-,1,,,-,1,,,-,3,,6,,8,,MICHIGAN,,20201317,POINT (-85.730977 44.874798)
GEORGIA,2020,13,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20201332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,13,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20201312,
ARKANSAS,2020,13,,-,0,,,-,,-,,-,2,,3,,2,,ARKANSAS,,20201344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20201341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,13,,-,0,,,-,,-,,-,1,,,-,1,,SOUTH DAKOTA,,20201327,POINT (-100.230491 44.43614)
WYOMING,2020,13,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20201356,POINT (-107.55145 42.999627)
MISSOURI,2020,13,,-,0,,,-,,-,,-,2,,4,,8,,MISSOURI,,20201324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,13,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20201309,
CALIFORNIA,2020,13,,-,0,,,-,,-,,-,180,,205,,2213,,CALIFORNIA,,20201359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20201337,POINT (-80.613729 38.642579)
FLORIDA,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20201331,POINT (-82.420978 28.260731)
MONTANA,2020,13,,-,0,,,-,,-,,-,2,,3,,2,,MONTANA,,20201352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,13,,-,0,,,-,,-,1,,7,,24,,32,,,WEST NORTH CENTRAL,20201320,
MASSACHUSETTS,2020,13,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20201305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,13,,-,1,,,-,,-,110,,320,,2956,,2358,,,MOUNTAIN,20201348,
INDIANA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,13,,-,1,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20201369,
US TERRITORIES,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201363,
NEW MEXICO,2020,15,,-,0,,,-,,-,,-,9,,,-,43,,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,,-,1,,,-,2,,,-,5,,9,,20,,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,,-,1,,,-,,-,,-,1,,1,,2,,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,,-,0,,,-,,-,,-,3,,3,,6,,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,1,,,-,,-,,-,6,,18,,24,,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,,-,0,,,-,,-,,-,3,,1,,4,,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
HAWAII,2020,15,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,,-,1,,,-,,-,,-,1,,1,,2,,,SOUTH ATLANTIC,20201528,
PUERTO RICO,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20201867,POINT (-66.414655 18.215692)
MAINE,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20201804,POINT (-69.06137 45.117911)
VIRGINIA,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20201836,POINT (-78.666382 37.510861)
ARIZONA,2020,18,,-,0,,,-,,-,111,,318,,3282,,3142,,ARIZONA,,20201849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20201864,
WISCONSIN,2020,18,,-,0,,,-,,-,,-,2,,,-,6,,WISCONSIN,,20201819,POINT (-89.732969 44.639954)
IDAHO,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20201851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201868,POINT (-64.840836 18.060868)
MICHIGAN,2020,18,,-,1,,,-,1,,1,,3,,7,,15,,MICHIGAN,,20201817,POINT (-85.730977 44.874798)
GEORGIA,2020,18,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20201832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,18,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20201812,
ARKANSAS,2020,18,,-,0,,,-,,-,,-,2,,3,,4,,ARKANSAS,,20201844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20201841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,18,,-,0,,,-,,-,,-,1,,,-,2,,SOUTH DAKOTA,,20201827,POINT (-100.230491 44.43614)
WYOMING,2020,18,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20201856,POINT (-107.55145 42.999627)
MISSOURI,2020,18,,-,0,,,-,,-,,-,2,,4,,10,,MISSOURI,,20201824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,18,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20201809,
CALIFORNIA,2020,18,,-,0,,,-,,-,,-,144,,,-,2501,,CALIFORNIA,,20201859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20201837,POINT (-80.613729 38.642579)
FLORIDA,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20201831,POINT (-82.420978 28.260731)
MONTANA,2020,18,,-,0,,,-,,-,,-,2,,3,,3,,MONTANA,,20201852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,18,,-,0,,,-,3,,,-,7,,26,,46,,,WEST NORTH CENTRAL,20201820,
MASSACHUSETTS,2020,18,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20201805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,18,,-,1,,,-,,-,111,,320,,3306,,3249,,,MOUNTAIN,20201848,
INDIANA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,18,,-,1,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20201869,
US TERRITORIES,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201863,
MONTANA,2020,19,,-,0,,,-,,-,,-,2,,3,,3,,MONTANA,,20201952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,19,,-,0,,,-,3,,,-,7,,26,,47,,,WEST NORTH CENTRAL,20201920,
MASSACHUSETTS,2020,19,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20201905,POINT (-71.481104 42.151077)
MOUNTAIN,2020,19,,-,1,,,-,,-,144,,320,,3270,,3475,,,MOUNTAIN,20201948,
INDIANA,2020,19,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,19,,-,1,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20201969,
US TERRITORIES,2020,19,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201963,
TOTAL,2020,23,,-,2,,,-,5,,123,,437,,4157,,8087,,,TOTAL,20202370,
US RESIDENTS,2020,23,,-,2,,,-,5,,123,,437,,4157,,8085,,,US RESIDENTS,20202301,
NEW HAMPSHIRE,2020,23,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20202306,POINT (-71.57139 43.680429)
NEW YORK,2020,23,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20202311,POINT (-75.59655 42.921241)
PACIFIC,2020,23,,-,0,,,-,,-,6,,180,,337,,3788,,,PACIFIC,20202357,
WEST SOUTH CENTRAL,2020,23,,-,0,,,-,,-,,-,3,,7,,12,,,WEST SOUTH CENTRAL,20202343,
NEBRASKA,2020,23,,-,0,,,-,,-,,-,2,,4,,2,,NEBRASKA,,20202325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,23,,-,0,,,-,,-,,-,1,,1,,2,,,EAST SOUTH CENTRAL,20202338,
NORTH DAKOTA,2020,23,,-,0,,,-,,-,,-,1,,1,,1,,NORTH DAKOTA,,20202326,POINT (-100.46931 47.446305)
NEVADA,2020,23,,-,1,,,-,,-,,-,7,,18,,40,,NEVADA,,20202353,POINT (-114.916992 39.283294)
ILLINOIS,2020,23,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20202315,POINT (-89.148632 40.124144)
IOWA,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20202321,POINT (-93.500061 42.074659)
TEXAS,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20202347,POINT (-99.317341 31.447238)
ALASKA,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20202358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20202330,POINT (-77.016275 38.904785)
WASHINGTON,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20202362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,23,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20202302,
RHODE ISLAND,2020,23,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20202307,POINT (-71.534637 41.572574)
OREGON,2020,23,,-,0,,,-,,-,,-,1,,3,,3,,OREGON,,20202361,POINT (-120.605279 43.940449)
DELAWARE,2020,23,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20202329,POINT (-75.452394 38.994926)
ALABAMA,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20202339,POINT (-86.844516 32.756889)
KANSAS,2020,23,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20202322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20202334,POINT (-79.130883 35.52603)
GUAM,2020,23,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202366,POINT (144.653198 13.3532)
NEW JERSEY,2020,23,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20202310,POINT (-74.655514 40.110253)
TOTAL,2020,16,,-,2,,,-,2,,77,,438,,3414,,5653,,,TOTAL,20201670,
US RESIDENTS,2020,16,,-,2,,,-,2,,77,,438,,3414,,5653,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,,-,0,,,-,,-,,-,180,,210,,2691,,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,,-,3,,4,,8,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,0,,,-,,-,,-,2,,4,,,-,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,,-,1,,1,,1,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,0,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,1,,,-,,-,,-,7,,17,,27,,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,-,0,,,-,,-,,-,1,,2,,2,,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,0,,,-,,-,,-,9,,,-,45,,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,,-,1,,,-,2,,,-,5,,9,,21,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,1,,,-,,-,,-,1,,1,,2,,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
NEW MEXICO,2020,23,,-,0,,,-,,-,,-,9,,,-,64,,NEW MEXICO,,20202354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,23,,-,1,,,-,2,,2,,4,,16,,34,,,EAST NORTH CENTRAL,20202314,
TENNESSEE,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20202342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20202303,POINT (-72.738288 41.575155)
MARYLAND,2020,23,,-,1,,,-,,-,,-,1,,1,,5,,MARYLAND,,20202333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20202335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,23,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20202346,POINT (-97.508297 35.583449)
OHIO,2020,16,,-,0,,,-,,-,,-,3,,3,,6,,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,1,,,-,,-,,-,6,,18,,25,,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,0,,,-,,-,,-,3,,1,,4,,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,,-,1,,,-,,-,,-,1,,1,,2,,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,0,,,-,,-,,-,4,,3,,23,,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,1,,,-,,-,,N,,NC,,N,,N,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,0,,,-,,-,,-,1,,1,,1,,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,,-,0,,,-,,-,77,,318,,3140,,2796,,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,,-,0,,,-,,-,,-,2,,,-,4,,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
