Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
E.N. CENTRAL,2017,28,1438,,4429,,5214,,106819,,126233,,,-,1,,4,,20,,47,,,
OKLAHOMA,2017,28,43,,355,,472,,7976,,11647,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
OREGON,2017,28,328,,344,,545,,9745,,9253,,,-,0,,2,,4,,7,,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2017,28,2041,,3948,,4448,,108175,,105318,,14,,88,,224,,1721,,1714,,"CALIFORNIA
(37.640735, -121.002435)",
WEST VIRGINIA,2017,28,69,,89,,130,,2271,,2550,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
PUERTO RICO,2017,28,208,,125,,350,,4067,,4353,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
S. ATLANTIC,2017,1,1014,,5590,,7038,,1014,,3471,,,-,0,,2,,,-,,-,,
KANSAS,2017,28,80,,250,,298,,6933,,6372,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEW JERSEY,2017,28,318,,680,,763,,17061,,18287,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
MONTANA,2017,28,,-,78,,158,,1106,,2317,,,-,0,,2,,6,,7,,"MONTANA
(47.062617, -109.430168)",
IDAHO,2017,28,95,,108,,166,,2312,,3154,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEW YORK CITY,2017,28,861,,1349,,1593,,37982,,35164,,,N,0,,0,,,N,,N,,
ILLINOIS,2017,28,57,,1216,,1501,,24502,,39030,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MASSACHUSETTS,2017,28,,-,549,,616,,14098,,13962,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGIN ISL.,2017,28,,-,7,,15,,46,,378,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
E.S. CENTRAL,2017,1,45,,1483,,2262,,45,,1050,,,-,0,,0,,,-,,-,,
INDIANA,2017,28,300,,627,,981,,17745,,16569,,,-,0,,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2017,28,,-,476,,703,,12579,,15631,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
WYOMING,2017,28,30,,34,,55,,952,,1088,,,-,0,,1,,2,,1,,"WYOMING
(43.23558, -108.110518)",
VERMONT,2017,28,,-,24,,102,,567,,914,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
W.S. CENTRAL,2017,1,2125,,3969,,5427,,2125,,3231,,,-,0,,1,,,-,1,,,
ARIZONA,2017,28,814,,670,,1092,,18734,,17736,,109,,110,,155,,2973,,3259,,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2017,28,3,,442,,524,,10863,,12024,,,-,0,,2,,,-,44,,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2017,28,95,,71,,201,,2883,,2240,,,-,0,,1,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
HAWAII,2017,28,,-,130,,179,,3062,,3594,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MOUNTAIN,2017,1,233,,1998,,2636,,233,,1492,,140,,123,,161,,140,,126,,,
NEW YORK,2017,28,918,,850,,2358,,22632,,21100,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
IOWA,2017,28,,-,256,,302,,6364,,6780,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
PACIFIC,2017,1,1395,,4994,,5338,,1395,,4863,,6,,74,,143,,6,,73,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
FLORIDA,2017,28,,-,1864,,2771,,50098,,50422,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2017,28,,-,0,,4710,,,-,21652,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2017,28,146,,658,,912,,16497,,16805,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
RHODE ISLAND,2017,1,,-,92,,298,,,-,8,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2017,1,118,,593,,713,,118,,559,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2017,1,80,,99,,199,,80,,73,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,1,40,,296,,390,,40,,339,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NORTH CAROLINA,2017,1,,-,1027,,1294,,,-,1294,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2017,1,156,,651,,1378,,156,,1378,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2017,1,256,,331,,422,,256,,198,,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2017,1,,-,592,,1983,,,-,23,,,-,0,,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,1,,-,3,,28,,,-,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MAINE,2017,1,134,,79,,157,,134,,31,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
MICHIGAN,2017,1,156,,871,,1127,,156,,694,,,-,1,,3,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEBRASKA,2017,1,55,,149,,274,,55,,119,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2017,1,234,,515,,592,,234,,575,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2017,1,229,,597,,766,,229,,658,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
IOWA,2017,1,45,,254,,302,,45,,268,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2017,1,,-,123,,481,,,-,13,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2017,1,,-,107,,212,,,-,77,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2017,1,242,,1805,,2324,,242,,655,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
ALASKA,2017,1,,-,104,,152,,,-,55,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
PENNSYLVANIA,2017,1,668,,1115,,1376,,668,,1094,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2017,1,67,,183,,220,,67,,207,,,-,1,,3,,,-,,-,"UTAH
(39.359772, -111.584173)",
OHIO,2017,1,429,,1162,,1355,,429,,1355,,2,,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
COLORADO,2017,1,,-,477,,1192,,,-,386,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2017,1,,-,268,,505,,,-,107,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DIST. OF COL.,2017,1,,-,152,,283,,,-,192,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARIZONA,2017,1,132,,643,,990,,132,,301,,140,,120,,160,,140,,123,,"ARIZONA
(34.869712, -111.760902)",
WYOMING,2017,1,24,,38,,73,,24,,31,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MINNESOTA,2017,1,,-,424,,526,,,-,526,,,-,1,,4,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2017,1,2085,,2783,,3107,,2085,,2762,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2017,1,,-,62,,93,,,-,92,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2017,1,604,,565,,789,,604,,463,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
TENNESSEE,2017,1,,-,616,,806,,,-,741,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2017,1,10,,233,,364,,10,,243,,,-,0,,3,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2017,1,,-,921,,1219,,,-,154,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2017,1,,-,81,,119,,,-,119,,,N,0,,1,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
MARYLAND,2017,1,32,,526,,886,,32,,60,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2017,1,164,,99,,218,,164,,134,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2017,1,280,,501,,619,,280,,461,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,1,45,,362,,687,,45,,51,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2017,1,,-,1056,,1576,,,-,1576,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NEW YORK,2017,1,244,,803,,1017,,244,,186,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2017,1,30,,239,,283,,30,,247,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
CONNECTICUT,2017,1,2,,228,,350,,2,,27,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2017,1,56,,91,,182,,56,,46,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2017,1,,-,325,,566,,,-,74,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2017,1,,-,134,,173,,,-,144,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
VERMONT,2017,1,,-,24,,76,,,-,31,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2017,1,,-,624,,1358,,,-,534,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2017,1,,-,301,,739,,,-,184,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
NEVADA,2017,1,,-,200,,267,,,-,167,,,-,1,,5,,,-,3,,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2017,1,394,,597,,1078,,394,,584,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
CALIFORNIA,2017,1,745,,3808,,4142,,745,,3882,,6,,74,,143,,6,,73,,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2017,1,,-,84,,109,,,-,80,,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW YORK CITY,2017,2,796,,1295,,1522,,1871,,2758,,,N,0,,0,,,N,,N,,
HAWAII,2017,2,,-,133,,173,,,-,286,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MOUNTAIN,2017,2,1267,,1997,,2635,,2155,,3286,,66,,122,,160,,184,,270,,,
WISCONSIN,2017,2,391,,501,,620,,791,,982,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ILLINOIS,2017,2,45,,1074,,1497,,286,,3077,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
UTAH,2017,2,109,,183,,220,,268,,427,,,-,1,,3,,,-,1,,"UTAH
(39.359772, -111.584173)",
SOUTH DAKOTA,2017,2,,-,80,,107,,,-,220,,,N,0,,1,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2017,2,,-,331,,422,,256,,603,,,-,0,,3,,1,,,-,"OREGON
(44.567912, -120.156945)",
COLORADO,2017,2,422,,477,,1192,,814,,765,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
KANSAS,2017,2,16,,238,,283,,158,,516,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2017,2,,-,148,,274,,55,,238,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2017,2,542,,597,,1078,,936,,1204,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
GEORGIA,2017,2,,-,923,,1219,,,-,867,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2017,2,207,,871,,1127,,587,,1676,,,-,1,,3,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2017,2,1725,,3808,,4064,,4434,,7938,,2,,75,,149,,15,,142,,"CALIFORNIA
(37.640735, -121.002435)",
DIST. OF COL.,2017,2,292,,151,,283,,308,,282,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
E.S. CENTRAL,2017,2,689,,2152,,2915,,1347,,3578,,,-,0,,0,,,-,,-,,
IDAHO,2017,2,,-,107,,212,,,-,188,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
W.S. CENTRAL,2017,2,2743,,3968,,5427,,5026,,7287,,,-,0,,1,,,-,1,,,
W.N. CENTRAL,2017,2,231,,1841,,2078,,966,,3851,,,-,2,,9,,,-,1,,,
VERMONT,2017,2,,-,23,,76,,,-,71,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2017,2,207,,651,,732,,752,,2110,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
MAINE,2017,2,85,,79,,157,,219,,103,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
MISSOURI,2017,2,173,,597,,713,,530,,1153,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
TENNESSEE,2017,2,110,,630,,815,,408,,1505,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2017,2,461,,1035,,1470,,765,,1548,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2017,2,502,,642,,989,,666,,821,,66,,119,,158,,183,,261,,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2017,2,,-,592,,1983,,,-,565,,,-,0,,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
NORTH DAKOTA,2017,2,,-,62,,93,,,-,169,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2017,2,,-,104,,152,,,-,135,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MID. ATLANTIC,2017,2,2524,,3906,,4284,,5294,,7993,,,-,0,,0,,,-,,-,,
UNITED STATES,2017,2,12393,,29800,,33017,,26911,,56694,,68,,209,,272,,202,,415,,,
WYOMING,2017,2,23,,38,,73,,50,,72,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MINNESOTA,2017,2,,-,431,,526,,,-,1033,,,-,1,,4,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
OHIO,2017,2,595,,1156,,1313,,1444,,2674,,,-,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2017,2,871,,1115,,1376,,1777,,2221,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2017,2,197,,99,,218,,362,,309,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW ENGLAND,2017,2,289,,1043,,1197,,825,,1945,,,-,0,,1,,,-,,-,,
MASSACHUSETTS,2017,2,,-,512,,592,,234,,1164,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2017,2,2696,,2782,,3107,,4856,,5584,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,2,42,,252,,302,,223,,522,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW MEXICO,2017,2,72,,233,,390,,96,,472,,,-,0,,3,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OKLAHOMA,2017,2,47,,293,,390,,170,,729,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MARYLAND,2017,2,,-,526,,886,,32,,285,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PACIFIC,2017,2,2267,,4995,,5343,,5626,,10166,,2,,75,,149,,16,,142,,,
MONTANA,2017,2,,-,84,,109,,,-,168,,,-,0,,2,,1,,1,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,2,177,,589,,766,,546,,1266,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2017,2,,-,1036,,1272,,,-,2514,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2017,2,,-,268,,505,,,-,409,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CONNECTICUT,2017,2,3,,228,,357,,5,,277,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2017,2,613,,581,,789,,1217,,1079,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2017,2,,-,124,,481,,350,,73,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
E.N. CENTRAL,2017,2,1415,,4247,,4921,,3654,,9675,,,-,1,,7,,2,,1,,,
FLORIDA,2017,2,,-,1805,,2324,,242,,2441,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
DELAWARE,2017,2,,-,99,,199,,80,,159,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2017,2,650,,806,,1229,,894,,904,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
NEVADA,2017,2,139,,200,,267,,261,,373,,,-,1,,5,,,-,5,,"NEVADA
(39.491833, -117.070159)",
RHODE ISLAND,2017,2,4,,80,,283,,5,,21,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2017,2,118,,325,,566,,129,,383,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
WEST VIRGINIA,2017,2,63,,91,,182,,139,,112,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
KENTUCKY,2017,2,,-,362,,687,,45,,142,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
VIRGIN ISL.,2017,2,,-,3,,28,,,-,27,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
S. ATLANTIC,2017,2,968,,5656,,7053,,2018,,8913,,,-,0,,2,,,-,,-,,
VIRGINIA,2017,2,,-,624,,1358,,,-,1174,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,3,42,,1081,,1270,,746,,4330,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2017,3,456,,595,,1078,,1392,,1846,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2017,3,159,,556,,1190,,334,,569,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW MEXICO,2017,3,115,,235,,396,,315,,698,,,-,0,,3,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,3,304,,588,,766,,1236,,1944,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
NEW ENGLAND,2017,3,244,,1037,,1197,,1082,,3140,,,-,0,,1,,,-,,-,,
NORTH DAKOTA,2017,3,12,,61,,93,,55,,245,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2017,3,36,,237,,283,,431,,746,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
CALIFORNIA,2017,3,1184,,3807,,4055,,7241,,11766,,12,,75,,151,,50,,215,,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2017,3,418,,1156,,1284,,2293,,3875,,,-,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2017,3,12149,,29256,,32418,,48684,,84417,,169,,206,,292,,456,,628,,,
PENNSYLVANIA,2017,3,956,,1111,,1376,,2995,,3338,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
KENTUCKY,2017,3,76,,362,,687,,209,,197,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2017,3,,-,510,,592,,234,,1734,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2017,3,364,,330,,422,,819,,1021,,,-,0,,2,,1,,,-,"OREGON
(44.567912, -120.156945)",
MISSOURI,2017,3,126,,596,,713,,1104,,1768,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
W.S. CENTRAL,2017,3,2720,,3948,,5427,,9039,,11320,,,-,0,,1,,,-,1,,,
ALABAMA,2017,3,,-,521,,735,,765,,1192,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
RHODE ISLAND,2017,3,,-,80,,283,,5,,46,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2017,3,133,,325,,566,,299,,655,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH DAKOTA,2017,3,,-,80,,107,,,-,304,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
S. ATLANTIC,2017,3,1766,,5675,,7077,,5755,,14001,,,-,0,,2,,,-,1,,,
MICHIGAN,2017,3,,-,867,,1127,,587,,2493,,,-,0,,3,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
E.S. CENTRAL,2017,3,355,,1770,,2286,,1918,,3935,,,-,0,,0,,,-,,-,,
ALASKA,2017,3,,-,104,,152,,,-,238,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
W.N. CENTRAL,2017,3,221,,1841,,2080,,2224,,5657,,,-,2,,8,,,-,1,,,
