Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
HAWAII,2019,11,,-,1,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20191160
WISCONSIN,2019,11,,-,0,,,-,,-,,-,3,,,-,7,,"WISCONSIN
(44.639954, -89.732969)",,20191119
WEST VIRGINIA,2019,11,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20191137
MINNESOTA,2019,11,,-,0,,,-,,-,,-,5,,,-,28,,"MINNESOTA
(46.349153, -94.198308)",,20191123
NORTH CAROLINA,2019,11,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191134
COLORADO,2019,11,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20191150
ALASKA,2019,11,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20191158
NORTHERN MARIANA ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191165
IDAHO,2019,11,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20191151
MISSOURI,2019,11,,-,0,,,-,,-,1,,3,,4,,6,,"MISSOURI
(38.3675, -92.477244)",,20191124
DISTRICT OF COLUMBIA,2019,11,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191130
MOUNTAIN,2019,11,,-,1,,,-,,-,250,,329,,2215,,2002,,,MOUNTAIN,20191148
MIDDLE ATLANTIC,2019,13,,-,1,,,-,1,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191309
AMERICAN SAMOA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20191364
MINNESOTA,2019,13,,-,0,,,-,,-,,-,5,,,-,36,,"MINNESOTA
(46.349153, -94.198308)",,20191323
MASSACHUSETTS,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20191305
NEW ENGLAND,2019,13,,-,0,,,-,,-,,-,1,,,-,2,,,NEW ENGLAND,20191302
CONNECTICUT,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20191303
US RESIDENTS,2019,13,,-,2,,,-,2,,57,,374,,3405,,4362,,,US RESIDENTS,20191301
MAINE,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20191304
NEW YORK CITY,2019,13,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20191312
MARYLAND,2019,13,,-,0,,,-,,-,,-,1,,,-,1,,"MARYLAND
(38.946466, -76.687282)",,20191333
ALABAMA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20191339
LOUISIANA,2019,13,,-,1,,,-,,-,,-,2,,1,,5,,"LOUISIANA
(30.921314, -91.840238)",,20191345
MOUNTAIN,2019,13,,-,1,,,-,,-,49,,293,,2318,,2256,,,MOUNTAIN,20191348
US TERRITORIES,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191363
NEBRASKA,2019,13,,-,0,,,-,,-,,-,1,,,-,2,,"NEBRASKA
(41.527099, -99.810595)",,20191325
VIRGINIA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20191336
FLORIDA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20191331
NORTHERN MARIANA ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191365
ARKANSAS,2019,13,,-,0,,,-,,-,,-,1,,2,,3,,"ARKANSAS
(34.899825, -92.439162)",,20191344
KANSAS,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.484729, -98.38018)",,20191322
ILLINOIS,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20191315
TEXAS,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20191347
WEST VIRGINIA,2019,13,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20191337
UTAH,2019,13,,-,0,,,-,,-,,-,3,,,-,16,,"UTAH
(39.323779, -111.678222)",,20191355
IDAHO,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20191351
OREGON,2019,13,,-,0,,,-,,-,,-,1,,1,,7,,"OREGON
(43.940449, -120.605279)",,20191361
WISCONSIN,2019,13,,-,0,,,-,,-,,-,3,,,-,8,,"WISCONSIN
(44.639954, -89.732969)",,20191319
PUERTO RICO,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20191367
ARKANSAS,2019,12,,-,0,,,-,,-,,-,1,,2,,3,,"ARKANSAS
(34.899825, -92.439162)",,20191244
MICHIGAN,2019,12,,-,1,,,-,,-,,-,4,,2,,10,,"MICHIGAN
(44.874798, -85.730977)",,20191217
OKLAHOMA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20191246
WYOMING,2019,12,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191256
MARYLAND,2019,12,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20191233
NORTH CAROLINA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191234
TEXAS,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20191247
MASSACHUSETTS,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20191205
ARIZONA,2019,12,,-,1,,,-,,-,212,,327,,2378,,2036,,"ARIZONA
(34.293239, -111.664616)",,20191249
NEVADA,2019,12,,-,0,,,-,,-,,-,5,,15,,68,,"NEVADA
(39.283294, -114.916992)",,20191253
NEW HAMPSHIRE,2019,12,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191206
OREGON,2019,12,,-,0,,,-,,-,,-,1,,1,,6,,"OREGON
(43.940449, -120.605279)",,20191261
ALABAMA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20191239
NORTHERN MARIANA ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191265
CALIFORNIA,2019,12,,-,1,,,-,1,,16,,186,,1058,,1915,,"CALIFORNIA
(37.211164, -119.662127)",,20191259
NEW MEXICO,2019,12,,-,0,,,-,,-,,-,4,,7,,17,,"NEW MEXICO
(34.421369, -106.108388)",,20191254
COLORADO,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20191250
NEW YORK,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191211
U.S. VIRGIN ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191268
SOUTH DAKOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191227
MOUNTAIN,2019,12,,-,1,,,-,,-,212,,329,,2402,,2140,,,MOUNTAIN,20191248
US RESIDENTS,2019,12,,-,2,,,-,2,,229,,402,,3473,,4133,,,US RESIDENTS,20191201
PENNSYLVANIA,2019,12,,-,0,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20191213
UTAH,2019,12,,-,0,,,-,,-,,-,3,,,-,15,,"UTAH
(39.323779, -111.678222)",,20191255
NEW YORK CITY,2019,12,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20191212
IOWA,2019,12,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20191221
VERMONT,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20191208
GUAM,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191266
WEST SOUTH CENTRAL,2019,12,,-,1,,,-,,-,1,,2,,3,,8,,,WEST SOUTH CENTRAL,20191243
TOTAL,2019,12,,-,2,,,-,2,,229,,402,,3473,,4133,,,TOTAL,20191270
TENNESSEE,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20191242
PUERTO RICO,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20191267
VIRGINIA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20191236
LOUISIANA,2019,12,,-,1,,,-,,-,1,,2,,1,,5,,"LOUISIANA
(30.921314, -91.840238)",,20191245
DELAWARE,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191229
IDAHO,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20191251
NON-US RESIDENTS,2019,12,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191269
MAINE,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20191204
INDIANA,2019,12,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191216
WEST VIRGINIA,2019,12,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20191237
RHODE ISLAND,2019,12,,-,0,,,-,,-,,-,1,,,-,1,,"RHODE ISLAND
(41.572574, -71.534637)",,20191207
MISSISSIPPI,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20191241
AMERICAN SAMOA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20191264
EAST NORTH CENTRAL,2019,12,,-,1,,,-,,-,,-,6,,5,,23,,,EAST NORTH CENTRAL,20191214
FLORIDA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20191231
MINNESOTA,2019,12,,-,0,,,-,,-,,-,5,,,-,31,,"MINNESOTA
(46.349153, -94.198308)",,20191223
GEORGIA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20191232
SOUTH CAROLINA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191235
ILLINOIS,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20191215
CONNECTICUT,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20191203
WEST NORTH CENTRAL,2019,12,,-,1,,,-,,-,,-,6,,4,,39,,,WEST NORTH CENTRAL,20191220
DISTRICT OF COLUMBIA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191230
ALASKA,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20191258
US TERRITORIES,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191263
MONTANA,2019,12,,-,0,,,-,,-,,-,2,,2,,4,,"MONTANA
(47.033521, -109.645127)",,20191252
OHIO,2019,12,,-,1,,,-,,-,,-,5,,3,,5,,"OHIO
(40.415534, -82.70936)",,20191218
NORTH DAKOTA,2019,12,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191226
MISSOURI,2019,12,,-,0,,,-,,-,,-,3,,4,,7,,"MISSOURI
(38.3675, -92.477244)",,20191224
NEW JERSEY,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20191210
EAST SOUTH CENTRAL,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20191238
PACIFIC,2019,12,,-,1,,,-,1,,16,,186,,1059,,1921,,,PACIFIC,20191257
NEW ENGLAND,2019,12,,-,0,,,-,,-,,-,1,,,-,2,,,NEW ENGLAND,20191202
WISCONSIN,2019,12,,-,0,,,-,,-,,-,3,,,-,8,,"WISCONSIN
(44.639954, -89.732969)",,20191219
SOUTH ATLANTIC,2019,12,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,20191228
HAWAII,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20191260
KANSAS,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.484729, -98.38018)",,20191222
NEBRASKA,2019,12,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20191225
MIDDLE ATLANTIC,2019,12,,-,1,,,-,1,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191209
KENTUCKY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191240
WASHINGTON,2019,12,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20191262
U.S. VIRGIN ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191368
DISTRICT OF COLUMBIA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191330
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191369
GUAM,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191366
TENNESSEE,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20191342
MICHIGAN,2019,13,,-,1,,,-,,-,,-,4,,2,,10,,"MICHIGAN
(44.874798, -85.730977)",,20191317
NORTH DAKOTA,2019,13,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191326
SOUTH ATLANTIC,2019,13,,-,1,,,-,,-,,-,1,,,-,1,,,SOUTH ATLANTIC,20191328
CALIFORNIA,2019,13,,-,1,,,-,1,,6,,186,,1072,,2020,,"CALIFORNIA
(37.211164, -119.662127)",,20191359
SOUTH DAKOTA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191327
PENNSYLVANIA,2019,13,,-,0,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20191313
RHODE ISLAND,2019,13,,-,0,,,-,,-,,-,1,,,-,1,,"RHODE ISLAND
(41.572574, -71.534637)",,20191307
MONTANA,2019,13,,-,0,,,-,,-,,-,2,,2,,5,,"MONTANA
(47.033521, -109.645127)",,20191352
EAST SOUTH CENTRAL,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20191338
NEW MEXICO,2019,13,,-,0,,,-,,-,,-,4,,7,,18,,"NEW MEXICO
(34.421369, -106.108388)",,20191354
NEVADA,2019,13,,-,0,,,-,,-,,-,5,,15,,70,,"NEVADA
(39.283294, -114.916992)",,20191353
IOWA,2019,13,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20191321
GEORGIA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20191332
HAWAII,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20191360
MISSISSIPPI,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20191341
NEW YORK,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191311
NEW HAMPSHIRE,2019,13,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191306
INDIANA,2019,13,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191316
PACIFIC,2019,13,,-,1,,,-,1,,6,,186,,1073,,2027,,,PACIFIC,20191357
DELAWARE,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191329
OHIO,2019,13,,-,1,,,-,,-,2,,5,,5,,5,,"OHIO
(40.415534, -82.70936)",,20191318
EAST NORTH CENTRAL,2019,13,,-,1,,,-,,-,2,,6,,7,,23,,,EAST NORTH CENTRAL,20191314
WYOMING,2019,13,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191356
COLORADO,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20191350
NORTH CAROLINA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191334
KENTUCKY,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191340
WASHINGTON,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20191362
TOTAL,2019,13,,-,2,,,-,2,,57,,374,,3405,,4362,,,TOTAL,20191370
NEW JERSEY,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20191310
WEST SOUTH CENTRAL,2019,13,,-,1,,,-,,-,,-,2,,3,,8,,,WEST SOUTH CENTRAL,20191343
SOUTH CAROLINA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191335
ALASKA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20191358
OKLAHOMA,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20191346
WEST NORTH CENTRAL,2019,13,,-,1,,,-,,-,,-,6,,4,,45,,,WEST NORTH CENTRAL,20191320
VERMONT,2019,13,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20191308
MISSOURI,2019,13,,-,0,,,-,,-,,-,3,,4,,7,,"MISSOURI
(38.3675, -92.477244)",,20191324
ARIZONA,2019,13,,-,1,,,-,,-,49,,291,,2294,,2147,,"ARIZONA
(34.293239, -111.664616)",,20191349
VIRGINIA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20191436
DELAWARE,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191429
SOUTH CAROLINA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191435
NEW YORK,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191411
UTAH,2019,14,,-,0,,,-,,-,,-,3,,,-,19,,"UTAH
(39.323779, -111.678222)",,20191455
EAST NORTH CENTRAL,2019,14,,-,1,,,-,,-,,-,6,,7,,26,,,EAST NORTH CENTRAL,20191414
WYOMING,2019,14,,-,0,,,-,,-,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20191456
MARYLAND,2019,14,,-,0,,,-,,-,,-,1,,2,,1,,"MARYLAND
(38.946466, -76.687282)",,20191433
US RESIDENTS,2019,14,,-,2,,,-,2,,15,,375,,3445,,4611,,,US RESIDENTS,20191401
U.S. VIRGIN ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191468
WEST NORTH CENTRAL,2019,14,,-,1,,,-,,-,,-,4,,5,,46,,,WEST NORTH CENTRAL,20191420
MIDDLE ATLANTIC,2019,14,,-,1,,,-,1,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191409
COLORADO,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20191450
MAINE,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20191404
NEW ENGLAND,2019,14,,-,0,,,-,,-,,-,1,,,-,2,,,NEW ENGLAND,20191402
NORTH CAROLINA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20191434
MISSOURI,2019,14,,-,0,,,-,,-,,-,3,,5,,7,,"MISSOURI
(38.3675, -92.477244)",,20191424
OKLAHOMA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20191446
MINNESOTA,2019,14,,-,0,,,-,,-,,-,4,,,-,37,,"MINNESOTA
(46.349153, -94.198308)",,20191423
KENTUCKY,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191440
NEW MEXICO,2019,14,,-,0,,,-,,-,,-,4,,7,,20,,"NEW MEXICO
(34.421369, -106.108388)",,20191454
MICHIGAN,2019,14,,-,1,,,-,,-,,-,4,,2,,12,,"MICHIGAN
(44.874798, -85.730977)",,20191417
TENNESSEE,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20191442
NEW JERSEY,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20191410
ARIZONA,2019,14,,-,1,,,-,,-,,-,291,,2294,,2258,,"ARIZONA
(34.293239, -111.664616)",,20191449
CONNECTICUT,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20191403
EAST SOUTH CENTRAL,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20191438
AMERICAN SAMOA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20191464
CALIFORNIA,2019,14,,-,1,,,-,1,,15,,186,,1105,,2145,,"CALIFORNIA
(37.211164, -119.662127)",,20191459
MONTANA,2019,14,,-,0,,,-,,-,,-,2,,2,,5,,"MONTANA
(47.033521, -109.645127)",,20191452
PUERTO RICO,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20191467
MISSISSIPPI,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20191441
LOUISIANA,2019,14,,-,1,,,-,,-,,-,2,,1,,5,,"LOUISIANA
(30.921314, -91.840238)",,20191445
VERMONT,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20191408
GUAM,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191466
HAWAII,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20191460
OREGON,2019,14,,-,0,,,-,,-,,-,1,,1,,7,,"OREGON
(43.940449, -120.605279)",,20191461
MOUNTAIN,2019,14,,-,1,,,-,,-,,-,293,,2322,,2376,,,MOUNTAIN,20191448
TEXAS,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20191447
WISCONSIN,2019,14,,-,0,,,-,,-,,-,3,,,-,9,,"WISCONSIN
(44.639954, -89.732969)",,20191419
IDAHO,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20191451
KANSAS,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.484729, -98.38018)",,20191422
NEVADA,2019,14,,-,0,,,-,,-,,-,5,,19,,73,,"NEVADA
(39.283294, -114.916992)",,20191453
GEORGIA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20191432
PACIFIC,2019,14,,-,1,,,-,1,,15,,186,,1106,,2152,,,PACIFIC,20191457
MASSACHUSETTS,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20191405
DISTRICT OF COLUMBIA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191430
NEBRASKA,2019,14,,-,0,,,-,,-,,-,1,,,-,2,,"NEBRASKA
(41.527099, -99.810595)",,20191425
WASHINGTON,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20191462
ALABAMA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20191439
US TERRITORIES,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191463
TOTAL,2019,14,,-,2,,,-,2,,15,,375,,3445,,4611,,,TOTAL,20191470
SOUTH ATLANTIC,2019,14,,-,1,,,-,,-,,-,1,,2,,1,,,SOUTH ATLANTIC,20191428
NEW HAMPSHIRE,2019,14,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191406
OHIO,2019,14,,-,1,,,-,,-,,-,5,,5,,5,,"OHIO
(40.415534, -82.70936)",,20191418
SOUTH DAKOTA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191427
ALASKA,2019,14,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20191458
NORTH DAKOTA,2019,14,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191426
WEST VIRGINIA,2019,14,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20191437
WEST SOUTH CENTRAL,2019,14,,-,1,,,-,,-,,-,2,,3,,8,,,WEST SOUTH CENTRAL,20191443
NON-US RESIDENTS,2019,14,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191469
RHODE ISLAND,2019,14,,-,0,,,-,,-,,-,1,,,-,1,,"RHODE ISLAND
(41.572574, -71.534637)",,20191407
IOWA,2019,14,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20191421
